,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,1.0,0.0003907013088493846,0.0003297065611605671,0.0,0.0012,0.001418942887548776,0.0012911555842479018,0.0,0.0,0.002306805074971165,0.0005555555555555556,0.0,0.0,0.001177856301531213,0.0015060240963855422,0.0011560693641618498,0.0006531678641410843,0.0006321112515802782,0.0,0.0,0.0008431703204047217,0.0,0.0009652509652509653,0.0,0.0,0.0018099547511312218,0.006211180124223602,0.0014194464158978,0.001026694045174538,0.0,0.0017953321364452424,0.0024509803921568627,0.0,0.0011273957158962795,0.00125,0.0,0.004884004884004884,0.0013245033112582781,0.0026223776223776225,0.002564102564102564,0.002430133657351154,0.0,0.0011641443538998836,0.0,0.001953125,0.0014858841010401188,0.0,0.0,0.0,0.0,0.002570694087403599,0.0,0.0,0.0,0.0,0.005249343832020997,0.0,0.0,0.006507592190889371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015748031496062992,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 2,0.0003907013088493846,1.0,0.07141912445443724,0.05374010722491703,0.06215799073944156,0.04337476857974081,0.0477106579453636,0.03400796284007963,0.04265943786560137,0.039566147265505655,0.0304576144036009,0.020546910409427407,0.028013141967836764,0.02886454529647018,0.008267370272647317,0.042471634467954614,0.016638422431058387,0.018688725490196078,0.013445378151260505,0.017246835443037976,0.0164147570290915,0.03468208092485549,0.01801200800533689,0.033098476159265935,0.011657374556512924,0.01395959927738545,0.019063270336894002,0.027112731885206912,0.031762295081967214,0.023959426372857643,0.021241830065359478,0.010332103321033211,0.021484375,0.02021586431385986,0.021232161503654718,0.0130844382414515,0.00804381310970392,0.010411244143675169,0.031198141387321607,0.027498765025522807,0.01867219917012448,0.026580958999305074,0.012297181895815542,0.007776337715237919,0.02029621503017005,0.013952666902154716,0.01282051282051282,0.01184281356540463,0.014582164890633763,0.004035956705191708,0.006455182589450387,0.005018587360594796,0.005535055350553505,0.0012987012987012987,0.001125914805779696,0.0025754231052244297,0.025534226729445855,0.021747143383708072,0.018225331369661268,0.01153059326762135,0.011439466158245948,0.011324376199616123,0.008595988538681949,0.01385988228593127,0.013363448146056842,0.007727101394647569,0.006493506493506494,0.0039069767441860465,0.001497566454511419,0.0018882175226586104,0.0039652567975830815,0.0028021670091537454,0.0070315469403268716,0.004318437852046564,0.00019043991620643687,0.0020641771439294425,0.0013348588863463006,0.0013307984790874524,0.0011396011396011395,0.00038284839203675346,0.0003850596842510589,0.0005806077027288562,0.0019069412662090007,0.0013492675404780262,0.004634099246958873,0.0007766990291262136,0.0015509887553315238,0.00019297568506368199,0.0009573042312847023,0.0009674922600619195,0.000194325689856199,0.0005813953488372093,0.00019485580670303975,0.0,0.0007807925043919579,0.0005812826971517147,0.0003907013088493846,0.005041690905565251,0.0,0.00019485580670303975,0.0,0.0,0.0007838526357044876,0.0,0.00019550342130987292,0.0,0.00019546520719311962,0.0,0.00019554165037152912,0.0003913128546272745,0.0,0.00019580967299784609,0.00019557989438685703,0.00019565642731363725
Surah 3,0.0003297065611605671,0.07141912445443724,1.0,0.047910295616717634,0.06445350417394681,0.03996415770609319,0.03435374149659864,0.04988604710053178,0.0500804505229284,0.0421912966644577,0.032390412437918376,0.022339027595269383,0.027430093209054592,0.027911969940955447,0.008298755186721992,0.044326241134751775,0.0153015301530153,0.02012072434607646,0.02018111254851229,0.01353874883286648,0.017333984375,0.03492692593510032,0.017477203647416412,0.04096742349457058,0.011407829919626652,0.01464746772591857,0.024657534246575342,0.028337236533957845,0.0347985347985348,0.02698282910874898,0.024319629415170817,0.013153961136023917,0.025458996328029376,0.022198731501057084,0.027166530834012496,0.01004615802335053,0.010629816635663035,0.01383989145183175,0.037977867203219315,0.034371108343711085,0.01765177855041455,0.03213610586011342,0.01506740681998414,0.008716561466786895,0.028260229614365615,0.023529411764705882,0.019687319050376375,0.0189328743545611,0.017672151127361365,0.002962085308056872,0.004171632896305125,0.004234724742891712,0.0068862275449101795,0.0015128593040847202,0.0012330456226880395,0.0029824038174768863,0.036221385105766446,0.031324582338902146,0.023781212841854936,0.013914095583787053,0.01706700379266751,0.018892090938200448,0.012044374009508717,0.02070913084405397,0.012592137592137592,0.011793916821849782,0.00937405503477472,0.004858791375645309,0.00122737035900583,0.0021793275217932753,0.0037290242386575512,0.004592774035517453,0.006581009088060169,0.005238828967642527,0.0006323110970597534,0.0027743526510480886,0.0006325110689437065,0.0012594458438287153,0.0015728216420257944,0.00031867431485022306,0.0012882447665056361,0.000974025974025974,0.002849905003166561,0.002904162633107454,0.007436146136437116,0.0006525285481239804,0.0019524894240156199,0.00032310177705977385,0.001275103602167676,0.0009730781706130393,0.0,0.0,0.0003284072249589491,0.0,0.0013175230566534915,0.00032509752925877764,0.0,0.0071567989590110605,0.0,0.000657030223390276,0.0,0.0,0.001326259946949602,0.0,0.00033025099075297226,0.0,0.0,0.0,0.0,0.00033057851239669424,0.0,0.00033112582781456954,0.0,0.0
Surah 4,0.0,0.05374010722491703,0.047910295616717634,1.0,0.05030743432084964,0.03294607248135946,0.026840111971019265,0.029693486590038315,0.039048907790450414,0.029585798816568046,0.024283935242839352,0.017728999577880964,0.022947475777664456,0.021800461656835086,0.007692307692307693,0.032463399108847865,0.025945470536499562,0.020995670995670995,0.01410891089108911,0.009883198562443846,0.013130128956623681,0.028245905530500832,0.014841849148418492,0.03577351338545368,0.01552717255196594,0.009761904761904762,0.014258555133079848,0.020889487870619946,0.02264808362369338,0.022952529994783515,0.018482758620689654,0.0062482249360976995,0.04399038461538462,0.015913109371053297,0.02714695901853302,0.0070184559396932675,0.006102212051868803,0.00934094447327452,0.02514367816091954,0.024988100904331272,0.014347937483986677,0.02739018087855297,0.010116337885685382,0.004866876610363584,0.016727069974909393,0.014925373134328358,0.01997780244173141,0.025740381954054804,0.017472335468841003,0.0028328611898017,0.005420827389443652,0.005208333333333333,0.006870884626395649,0.0005777007510109763,0.0014718869590815426,0.001138627953316254,0.02416254805052169,0.024978711325574793,0.01782178217821782,0.013294797687861272,0.01079136690647482,0.008159564823209429,0.010262601871415635,0.015499254843517139,0.015298617240364814,0.008567208271787297,0.004892086330935252,0.003186558516801854,0.0008787346221441124,0.00267538644470868,0.0035587188612099642,0.0052677787532923615,0.0074827895839568994,0.004705882352941176,0.0009047044632086852,0.00412614205717654,0.0012070006035003018,0.0015019525382997897,0.0005995203836930455,0.00030376670716889426,0.00030656039239730225,0.00030902348578491963,0.0009041591320072332,0.003383574284835435,0.004917025199754148,0.0006213109661385523,0.00248062015503876,0.0003077870113881194,0.00030358227079538557,0.0015455950540958269,0.0003112356053532524,0.0,0.0,0.0,0.0012539184952978057,0.0009293680297397769,0.00031377470975839345,0.009630319975147562,0.0006267627702914447,0.0006253908692933083,0.0,0.0,0.0012618296529968455,0.0,0.00031426775612822125,0.0,0.0,0.0,0.0,0.0006293266205160479,0.0,0.000315059861373661,0.0,0.0
Surah 5,0.0012,0.06215799073944156,0.06445350417394681,0.05030743432084964,1.0,0.0390224674812771,0.03140096618357488,0.03492699685084455,0.049686660698299016,0.03767038413878562,0.03381172464120652,0.01971900419028839,0.02432266009852217,0.026766262060379707,0.007766990291262136,0.041085657370517926,0.013750954927425516,0.01792476647311285,0.0148720999405116,0.014373170082512644,0.01564245810055866,0.03755334281650071,0.01543839207690067,0.043589017831870934,0.015060240963855422,0.013394129381590196,0.019055745164960183,0.027415491083311153,0.033816425120772944,0.020491803278688523,0.02383384405856316,0.008468595624558928,0.030422535211267605,0.021113831089351286,0.023299748110831235,0.010776545166402536,0.011124845488257108,0.014882837238758708,0.03333333333333333,0.02461103253182461,0.018351477449455676,0.03263256981487292,0.013786764705882353,0.009289031797070382,0.01997245179063361,0.0259526938239159,0.015274949083503055,0.027201632097925876,0.022942461762563728,0.003162333099086437,0.005667729365922777,0.00576992426974396,0.008187967248131008,0.0014414414414414415,0.0007366482504604051,0.0028328611898017,0.03677221654749745,0.03611898016997167,0.028238616307800918,0.023213638012332245,0.022450532724505326,0.01454267125908917,0.014481707317073171,0.027557568893922236,0.017660044150110375,0.014121144555927164,0.008623787279913761,0.003975424647632815,0.0010993037742762918,0.0029850746268656717,0.00446594715295869,0.0062202707647274055,0.007137490608564989,0.008121077888519748,0.0007598784194528875,0.0029476787030213707,0.001902587519025875,0.003409090909090909,0.0007544322897019992,0.0003835826620636747,0.0011650485436893205,0.0011769321302471558,0.0030441400304414,0.002723735408560311,0.009765625,0.0003944773175542406,0.0011787819253438114,0.000390015600624025,0.0007668711656441718,0.0015680125441003528,0.00039556962025316455,0.0,0.0,0.0,0.0015968063872255488,0.0007861635220125787,0.0,0.00984251968503937,0.0,0.0003977724741447892,0.0,0.0,0.0016096579476861167,0.00039872408293460925,0.0,0.0,0.0,0.0,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0
Surah 6,0.001418942887548776,0.04337476857974081,0.03996415770609319,0.03294607248135946,0.0390224674812771,1.0,0.05821917808219178,0.023673257023933404,0.03128859613009469,0.0730952380952381,0.046005951018539715,0.031712962962962964,0.031683168316831684,0.024052065647990947,0.014775413711583925,0.05731735964294104,0.028701267639320738,0.03176861071597914,0.014130434782608696,0.014987714987714987,0.024074553455863318,0.027454027454027453,0.030319436924742826,0.02454615187931475,0.01990049751243781,0.01598951507208388,0.03226659613858768,0.03928393833913476,0.03798170224563349,0.03461314717859221,0.018365472910927456,0.019570099454603786,0.018433179723502304,0.031012122920778123,0.031493787922565734,0.023330417031204434,0.014689265536723164,0.014096662830840045,0.06095908967759415,0.03736842105263158,0.025392296718972897,0.03556065385718383,0.023118127995489145,0.008982996470965673,0.028517706048260733,0.03548872180451128,0.013778322106552358,0.012117540139351712,0.009029345372460496,0.008576874205844982,0.008298755186721992,0.005823358136525397,0.0138308137664844,0.002263906856403622,0.0023102310231023103,0.003821656050955414,0.01938806422296274,0.01628052598622417,0.015389447236180905,0.008346709470304976,0.010416666666666666,0.010888057162300102,0.008454514710855596,0.013324450366422385,0.010147299509001636,0.00726792203501817,0.014271813168991242,0.006170834686586554,0.0009839291571006887,0.003670337003670337,0.004324683965402528,0.007548408270429931,0.006371562709590879,0.005271828665568369,0.0010166045408336157,0.004623513870541612,0.0013563919972872161,0.0030405405405405407,0.0013472549680026945,0.00034164673727365904,0.002421307506053269,0.0006968641114982578,0.003053953172718018,0.00138264777048047,0.00414794331144141,0.0003502626970227671,0.002797202797202797,0.000693721817551162,0.0003414134516899966,0.0010445682451253482,0.0,0.0,0.0,0.0,0.0007074637424831977,0.001047851903597625,0.0,0.0034782608695652175,0.0,0.00035285815102328866,0.0,0.0,0.00035612535612535614,0.0,0.0,0.0,0.0,0.0,0.0,0.0007109847138286527,0.0,0.000355998576005696,0.0,0.0
Surah 7,0.0012911555842479018,0.0477106579453636,0.03435374149659864,0.026840111971019265,0.03140096618357488,0.05821917808219178,1.0,0.017628592127505432,0.026790914385556204,0.06143269017520515,0.048886004758814626,0.03225806451612903,0.024530271398747392,0.027140974967061922,0.016146688560481664,0.04026115342763874,0.018004000889086463,0.026374113475177305,0.013646702047005308,0.025342943501511277,0.026417838099854582,0.020182604517059107,0.030524722502522705,0.0185361216730038,0.016910069177555727,0.041353383458646614,0.03720238095238095,0.03169828782970847,0.04007238883143743,0.025942765445306232,0.016633775021144628,0.015271659324522761,0.017204301075268817,0.02848183956101385,0.02122578933404086,0.020749124225276205,0.012555584619408842,0.019019555317439058,0.037082818294190356,0.035828220858895705,0.023520084566596194,0.023414890818205737,0.027609781751249014,0.011222681630242174,0.020343839541547278,0.03131061235799391,0.012979683972911963,0.012021246854906346,0.01007705986959099,0.003777971519907004,0.008802816901408451,0.008333333333333333,0.009711595055915245,0.0029691211401425177,0.0021154427319431852,0.004391100702576112,0.019585898153329603,0.014096662830840045,0.01473562554175094,0.006474396703943496,0.011076923076923076,0.009316770186335404,0.009285051067780872,0.00972940103374886,0.009903961584633853,0.005741915986702931,0.007990529742527374,0.0089632506722438,0.0024074631357207344,0.002134146341463415,0.006715506715506716,0.00510204081632653,0.003979185797367615,0.003919204100090443,0.0006190034045187249,0.0042334442092530995,0.0024813895781637717,0.001850709438618137,0.002466091245376079,0.00031191515907673113,0.0022082018927444794,0.00031746031746031746,0.002479082739386427,0.0018927444794952682,0.004099653106275623,0.0003190810465858328,0.0028680688336520078,0.0,0.0003117206982543641,0.0003171582619727244,0.00096,0.0003181673560292714,0.0,0.0,0.000643915003219575,0.0009548058561425843,0.0003224766204450177,0.005082592121982211,0.0,0.00032123353678124,0.0006441223832528181,0.0,0.0006480881399870382,0.0,0.0,0.0,0.0,0.0,0.0006464124111182935,0.00032331070158422246,0.00032299741602067185,0.0,0.0,0.0003234152652005175
Surah 8,0.0,0.03400796284007963,0.04988604710053178,0.029693486590038315,0.03492699685084455,0.023673257023933404,0.017628592127505432,1.0,0.04454828660436137,0.02702702702702703,0.025343189017951427,0.015596663039535727,0.02103642893791688,0.01975051975051975,0.011383039271485486,0.030061571894241218,0.013026819923371647,0.010877719429857465,0.011208576998050682,0.007328990228013029,0.010105448154657293,0.04524886877828054,0.015595463137996219,0.037069726390114736,0.010437375745526839,0.015560640732265447,0.019518837948252384,0.02063106796116505,0.030617283950617285,0.023706896551724137,0.025168815224063844,0.014,0.03155555555555556,0.02459016393442623,0.02628755364806867,0.008165487207403375,0.007287870900572618,0.009184224743381956,0.027752502274795268,0.02328705776981639,0.02054794520547945,0.026799789805570153,0.009211873080859774,0.011556764106050306,0.022655758338577723,0.022323983972524327,0.023514851485148515,0.021844660194174758,0.03881439661256175,0.003304692663582287,0.007377598926894702,0.008333333333333333,0.007412398921832884,0.0020847810979847115,0.0,0.004029550033579583,0.03640776699029126,0.031148604802076575,0.03479973736047275,0.02063273727647868,0.016566265060240965,0.020186335403726708,0.019230769230769232,0.028210838901262063,0.016358463726884778,0.013838310269482883,0.015193370165745856,0.0069881201956673656,0.0007173601147776184,0.003714710252600297,0.0029455081001472753,0.00641025641025641,0.009009009009009009,0.005772005772005772,0.0,0.002896451846488052,0.0007722007722007722,0.0015267175572519084,0.0007604562737642585,0.0007874015748031496,0.0,0.0,0.0038639876352395673,0.003236245954692557,0.007263922518159807,0.0008347245409015025,0.0016542597187758478,0.0008149959250203749,0.0,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0008539709649871904,0.0016570008285004142,0.0,0.007383100902378999,0.0,0.0008496176720475786,0.0,0.0,0.0008688097306689834,0.0,0.0,0.0,0.0,0.0,0.0,0.000864304235090752,0.0,0.0,0.0,0.0
Surah 9,0.0,0.04265943786560137,0.0500804505229284,0.039048907790450414,0.049686660698299016,0.03128859613009469,0.026790914385556204,0.04454828660436137,1.0,0.030724789915966385,0.028630384317771474,0.020811380400421495,0.02474088933467068,0.021527077026572486,0.008130081300813009,0.03485608661209401,0.01197278911564626,0.014804845222072678,0.007355292612727854,0.00938566552901024,0.01199760047990402,0.028250303766707167,0.01575299306868305,0.04071710726223032,0.011060507482108002,0.010429447852760737,0.01871165644171779,0.020130422455344486,0.03604193971166448,0.028344279294849638,0.01893095768374165,0.010116731517509728,0.033475349969567865,0.018549188473004307,0.021189336978810664,0.009310344827586206,0.010067114093959731,0.01238390092879257,0.03283767038413878,0.028151774785801713,0.01963439404197698,0.027476255088195387,0.01229235880398671,0.010646687697160883,0.02195306585919758,0.018149466192170817,0.022480329711502434,0.032173587729143284,0.023302531137002813,0.00348297213622291,0.006640625,0.005971337579617835,0.007053291536050157,0.0019904458598726115,0.0012234910277324632,0.003514252245216712,0.030740740740740742,0.03496503496503497,0.030314807617567042,0.015879317189360857,0.028413910093299407,0.016163334751169715,0.021711366538952746,0.026282853566958697,0.014997973246858533,0.016481252575195716,0.007920792079207921,0.0059976009596161535,0.0008103727714748784,0.0028937577511368336,0.004120313143798929,0.006472491909385114,0.00917813934084272,0.005702647657841141,0.0,0.0024449877750611247,0.001266891891891892,0.00041911148365465214,0.0008371703641691084,0.0,0.00043196544276457883,0.00043687199650502403,0.002957329953527672,0.0030329289428076256,0.008684324793747287,0.0,0.002631578947368421,0.0,0.0,0.0008729812309035355,0.000441306266548985,0.0,0.0,0.0,0.0008908685968819599,0.0004380201489268506,0.0004464285714285714,0.012307692307692308,0.0,0.0,0.0,0.0,0.0008988764044943821,0.0,0.0,0.0,0.0,0.0,0.0,0.00044802867383512545,0.0,0.0,0.0,0.0
Surah 10,0.002306805074971165,0.039566147265505655,0.0421912966644577,0.029585798816568046,0.03767038413878562,0.0730952380952381,0.06143269017520515,0.02702702702702703,0.030724789915966385,1.0,0.04875112849834487,0.02867602196461257,0.042735042735042736,0.033020790868324504,0.01468682505399568,0.048496009821976674,0.02583732057416268,0.02962496060510558,0.014176245210727969,0.020435510887772193,0.02462526766595289,0.032234957020057305,0.032245827010622154,0.027426160337552744,0.019569471624266144,0.027992633517495397,0.04719435154217763,0.04138627187079408,0.04602675059008655,0.05102040816326531,0.031278748850046,0.033070088845014806,0.02153954802259887,0.04552845528455285,0.038011695906432746,0.018915510718789406,0.018277822908204712,0.012868410128684102,0.05990265818045676,0.05580192165558019,0.03463917525773196,0.04466501240694789,0.028294260307194827,0.02030708271421496,0.04619047619047619,0.04336283185840708,0.018298261665141813,0.014388489208633094,0.014895729890764648,0.009174311926605505,0.010228933268387726,0.010484273589615577,0.01772525849335303,0.004488778054862843,0.0035989717223650387,0.0078010726474890294,0.027489860297431275,0.023685457129322594,0.022857142857142857,0.01131333005410723,0.01639344262295082,0.015616585891222402,0.007970244420828906,0.015568240788790867,0.011116725618999495,0.006147540983606557,0.015920398009950248,0.0075075075075075074,0.0020376974019358125,0.005227391531625719,0.005720228809152366,0.007102993404363267,0.008952080042127435,0.006656426011264721,0.0005353319057815846,0.004104669061056952,0.00322234156820623,0.003194888178913738,0.003188097768331562,0.0,0.002211166390270868,0.0005599104143337066,0.004833512352309345,0.0022123893805309734,0.00663716814159292,0.0005649717514124294,0.005073280721533258,0.0005558643690939411,0.0016286644951140066,0.0022396416573348264,0.0,0.0005621135469364812,0.0,0.0,0.0017231476163124641,0.0011242270938729624,0.0005757052389176742,0.007838745800671893,0.000574052812858783,0.0011441647597254005,0.0,0.0,0.0017431725740848344,0.0,0.0,0.0,0.0005770340450086555,0.0,0.0005777007510109763,0.0011574074074074073,0.0,0.0,0.0005780346820809249,0.0
