,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,0.9999997,0.8271553,0.9189497,0.8761606,0.8601263,0.89360356,0.88166344,0.8821752,0.8932378,0.9013107,0.8845535,0.8071542,0.9186548,0.90014493,0.80074,0.89939266,0.86418223,0.8696186,0.9016744,0.89307034,0.8832295,0.8049662,0.7928448,0.89703536,0.908107,0.8110577,0.897834,0.8277007,0.89446044,0.8943242,0.91455674,0.8960614,0.8886581,0.885029,0.9068956,0.8469469,0.93063426,0.9035283,0.8992847,0.86902076,0.828746,0.91544706,0.83656484,0.9093713,0.9153849,0.8617344,0.89607954,0.8768139,0.9062546,0.78432876,0.844758,0.89438194,0.8892978,0.8341229,0.8853015,0.7202337,0.9011434,0.88493234,0.9139056,0.8701882,0.91174257,0.905675,0.8666714,0.8981389,0.8932781,0.89959127,0.89126945,0.87828183,0.82804084,0.8728094,0.84211355,0.87553805,0.89463145,0.9059543,0.8779651,0.84535015,0.7038519,0.8095226,0.8503989,0.8622385,0.83989644,0.79262954,0.84980243,0.89588755,0.8516519,0.8712189,0.92286456,0.69390935,0.88312215,0.74852127,0.88648856,0.89738697,0.9116805,0.7598322,0.70755476,0.8574223,0.71267855,0.8852037,0.6138064,0.88282275,0.8854567,0.6456803,0.7248453,0.867967,0.6394671,0.76268506,0.7890971,0.60089576,0.8036486,0.8884182,0.6297779,0.82042503,0.85287535,0.6297488
Surah 2,0.8271553,1.0,0.8429464,0.76183856,0.75229025,0.84232473,0.8275314,0.88311434,0.8513489,0.8310938,0.7796345,0.73573047,0.8557476,0.7908042,0.73393524,0.78643465,0.71726084,0.77619493,0.794687,0.7945168,0.8064951,0.72263014,0.8703455,0.79408985,0.7606747,0.8041888,0.8573718,0.71734947,0.8577287,0.81275153,0.88225913,0.8294406,0.79476094,0.7688715,0.8127774,0.8237322,0.83831483,0.8009538,0.84044564,0.7510714,0.72713125,0.8383293,0.73656774,0.81017166,0.834015,0.7942078,0.80403286,0.8322512,0.81956166,0.6896549,0.75145584,0.8378175,0.7869223,0.7315224,0.7802597,0.68583053,0.7963251,0.80042547,0.84925884,0.84081453,0.80381405,0.8196535,0.83590376,0.8462263,0.78700364,0.8000529,0.76381683,0.78291357,0.6942501,0.73308146,0.75833374,0.7649519,0.7908459,0.7725358,0.7710183,0.6995867,0.6486211,0.71406716,0.70914316,0.7567698,0.7557974,0.79453015,0.78221637,0.83545274,0.82491195,0.73583764,0.8173485,0.57257324,0.79794097,0.6861689,0.7681788,0.8053275,0.8601919,0.65894306,0.61396563,0.844965,0.58416,0.8262561,0.5985432,0.74618423,0.74253917,0.73114777,0.6509875,0.7717704,0.5683443,0.68321276,0.6908603,0.57844657,0.80847394,0.84360564,0.50371933,0.711275,0.7391679,0.48670167
Surah 3,0.9189497,0.8429464,0.9999999,0.93545043,0.9271473,0.9486527,0.91957814,0.9337423,0.94655895,0.94994104,0.9564871,0.86561024,0.96841586,0.96286595,0.8196083,0.9509605,0.9092648,0.9202627,0.9266624,0.9440075,0.9434419,0.88026,0.7348299,0.9435702,0.9131039,0.81223506,0.92738515,0.8197105,0.9335052,0.93076646,0.9262426,0.94298553,0.94648176,0.9233909,0.96009666,0.8248979,0.93780506,0.9403969,0.94947433,0.94802046,0.88536346,0.96419364,0.8686906,0.942062,0.9563154,0.9345012,0.93596965,0.8945243,0.9317598,0.8056988,0.8122603,0.93973964,0.9420597,0.87774444,0.88266265,0.70902574,0.95482767,0.9382014,0.9640016,0.9168315,0.9615144,0.91112834,0.9480329,0.9485478,0.93695825,0.9317005,0.89894605,0.9515151,0.89454424,0.93339974,0.8651161,0.91712666,0.90228796,0.9329776,0.86532015,0.7966097,0.65294635,0.7256078,0.8875401,0.91731274,0.7958964,0.78552777,0.8698863,0.89825106,0.896451,0.8946503,0.9663026,0.6540627,0.9067161,0.71779835,0.9139192,0.9474299,0.89069664,0.71917474,0.65146834,0.88706285,0.649577,0.9175372,0.6031467,0.8870368,0.8865328,0.620362,0.65357554,0.9038297,0.61521184,0.70340693,0.70904446,0.56003004,0.73605216,0.88718855,0.5973259,0.8096747,0.8196616,0.53669405
Surah 4,0.8761606,0.76183856,0.93545043,1.0000001,0.9611672,0.89009494,0.9297197,0.92571,0.9058142,0.9380584,0.9613253,0.9032414,0.95099247,0.9473489,0.86281735,0.9699019,0.9315944,0.8952273,0.90584314,0.92672104,0.9383321,0.8813327,0.67013836,0.93582857,0.8919771,0.806002,0.9229565,0.7979716,0.91955143,0.92429245,0.8942884,0.93295705,0.9682788,0.8985348,0.9373992,0.79351854,0.8820082,0.9523235,0.94037867,0.94731116,0.92741,0.9501458,0.9165418,0.9420101,0.9311985,0.93378276,0.9045398,0.843562,0.93801415,0.83149457,0.7860246,0.8789527,0.91606385,0.9088647,0.89382297,0.68537146,0.92715067,0.96475196,0.93162245,0.9170908,0.95274127,0.8529331,0.94056755,0.89888996,0.94009274,0.95527726,0.86501354,0.96455,0.9392089,0.9311602,0.8317632,0.93758714,0.9142593,0.91966736,0.81256396,0.7506161,0.5741554,0.7704527,0.9054958,0.9303862,0.73151344,0.69942516,0.8290439,0.8547023,0.824687,0.88713527,0.93876314,0.6234026,0.8843909,0.7211636,0.89573115,0.94466704,0.80963385,0.65664,0.62374413,0.82125586,0.5698903,0.91623104,0.53774416,0.8803822,0.8855895,0.5263532,0.57180023,0.8889867,0.55267596,0.69478416,0.633119,0.52338094,0.69650686,0.8036314,0.61753833,0.74688923,0.76166725,0.48145714
Surah 5,0.8601263,0.75229025,0.9271473,0.9611672,0.99999976,0.8641636,0.9251927,0.91731143,0.8989625,0.92269516,0.9709554,0.8995278,0.9415425,0.9525889,0.8735008,0.9642165,0.9253935,0.8909457,0.88315034,0.9397361,0.9366255,0.8758316,0.6177615,0.9304578,0.8486115,0.77288735,0.92746866,0.7737794,0.9215379,0.925019,0.8966058,0.93805385,0.9513141,0.895284,0.93169135,0.8116817,0.8693694,0.942001,0.92476434,0.959344,0.9391828,0.94959295,0.90726346,0.9398986,0.9344849,0.9355511,0.9007272,0.836603,0.94325846,0.8175767,0.7667752,0.8766427,0.91271937,0.91605705,0.86712354,0.64264566,0.9151533,0.93193555,0.91564083,0.93335104,0.95412046,0.8283482,0.9419497,0.87718093,0.94945836,0.9249435,0.8246951,0.9710303,0.9438809,0.9267422,0.8269826,0.93644595,0.9053048,0.9108303,0.80410844,0.72129995,0.56582516,0.70785546,0.91098255,0.93871653,0.7043282,0.6840645,0.8345591,0.82432204,0.82571477,0.8784894,0.9210322,0.59355664,0.8563361,0.69908106,0.8686695,0.93814695,0.77955294,0.60089964,0.63631874,0.78830415,0.55134916,0.90776324,0.48207158,0.8570241,0.8900274,0.51371706,0.56970406,0.9139341,0.50603825,0.6831455,0.6253916,0.5384379,0.64856046,0.7726151,0.58633804,0.7090448,0.7318476,0.47460133
Surah 6,0.89360356,0.84232473,0.9486527,0.89009494,0.8641636,1.0,0.8709293,0.89426816,0.9269763,0.90489686,0.89524436,0.8177096,0.92718035,0.90718764,0.7716669,0.9060892,0.859329,0.8739023,0.90457034,0.90460336,0.8908057,0.8347274,0.7141192,0.886873,0.91529,0.78957653,0.8777523,0.7992765,0.88661706,0.8965218,0.8843256,0.90668297,0.89985144,0.9031628,0.9401461,0.7722811,0.90996325,0.8956861,0.9030105,0.8854196,0.8154807,0.9299259,0.82810384,0.9027728,0.92209977,0.91121304,0.8916198,0.8915544,0.8750753,0.7985493,0.7874121,0.8982894,0.8919107,0.8240884,0.88234395,0.68113655,0.9454801,0.897405,0.9418166,0.86788464,0.91926056,0.90229785,0.90042526,0.964537,0.8797692,0.89841104,0.89663935,0.89954406,0.8313737,0.87305135,0.8510506,0.85902536,0.8648317,0.8869746,0.8498537,0.79905134,0.63650864,0.7556276,0.819046,0.86668235,0.78888744,0.7754243,0.81070745,0.8864219,0.86855173,0.8674232,0.93855965,0.63923645,0.90170383,0.71688503,0.89415824,0.91379863,0.8905773,0.721294,0.64588386,0.891502,0.6624498,0.8645691,0.62563974,0.86571085,0.82586944,0.6625821,0.6261579,0.84611034,0.6108005,0.69925886,0.673144,0.5560086,0.71649003,0.88779724,0.5997422,0.79488873,0.8034464,0.51699215
Surah 7,0.88166344,0.8275314,0.91957814,0.9297197,0.9251927,0.8709293,0.9999999,0.9240987,0.90790665,0.9406516,0.9346277,0.9104837,0.9484285,0.9370224,0.8943447,0.93627524,0.910424,0.89335346,0.9118657,0.9272311,0.9295747,0.8617263,0.7357172,0.93263555,0.85261446,0.8649042,0.918465,0.83408844,0.9309807,0.91257036,0.9058058,0.9323969,0.938977,0.8767497,0.90316176,0.86002517,0.90314275,0.9542422,0.92658293,0.9128345,0.9066549,0.9265246,0.9136383,0.95175654,0.9231464,0.91051036,0.9047971,0.8702208,0.9360136,0.86914974,0.84020734,0.9078212,0.9260372,0.9085243,0.89426005,0.7507064,0.8989327,0.9335096,0.94664305,0.9237954,0.93361443,0.8612735,0.94211787,0.88540554,0.93889785,0.93591815,0.8556956,0.9263047,0.9094236,0.9056246,0.8500782,0.94744784,0.9136759,0.91810155,0.84042156,0.78474367,0.6564435,0.7898445,0.909271,0.9164499,0.7780311,0.754712,0.85950935,0.8731331,0.8667318,0.87277794,0.92618954,0.6360725,0.89886826,0.75079215,0.8842923,0.90945864,0.84177893,0.72143906,0.6488379,0.84368527,0.6052599,0.9305648,0.5815532,0.87902486,0.8849595,0.62833965,0.62565196,0.8575346,0.62011695,0.7482661,0.68913615,0.5695978,0.75787795,0.837886,0.58220434,0.7621328,0.76695013,0.55556667
Surah 8,0.8821752,0.88311434,0.9337423,0.92571,0.91731143,0.89426816,0.9240987,0.9999999,0.933289,0.93109494,0.9380646,0.8581997,0.94287944,0.9205953,0.8303424,0.93845546,0.87731457,0.88487923,0.8980051,0.9017445,0.9157413,0.8375472,0.7708359,0.91731066,0.85097885,0.7812562,0.9349319,0.77210325,0.9524106,0.92295337,0.9113251,0.9228207,0.948607,0.8748698,0.9198913,0.81242675,0.8664623,0.91811675,0.94610333,0.91301394,0.9019349,0.9546611,0.87593067,0.91830057,0.927889,0.9110399,0.91340214,0.88461137,0.94837415,0.7764166,0.75891924,0.89262974,0.88372314,0.85305446,0.86037016,0.6516658,0.9078542,0.92763007,0.92730474,0.9549851,0.9439165,0.8686031,0.9480369,0.917853,0.9151003,0.9278674,0.8247979,0.9373854,0.8712093,0.88569707,0.84118843,0.9039475,0.8745867,0.87623674,0.8179535,0.70798093,0.6041595,0.7184324,0.85325396,0.88151956,0.7221465,0.72042316,0.8275539,0.86069715,0.8683185,0.83073497,0.9274178,0.55225646,0.85625815,0.69048744,0.8550876,0.9202691,0.8332622,0.6245751,0.5999176,0.8727901,0.5521587,0.92145497,0.52388823,0.8392496,0.8344704,0.58631915,0.6160402,0.8610542,0.5157225,0.6760482,0.65609396,0.50880075,0.7745209,0.8578877,0.52921796,0.73966587,0.7302411,0.45220804
Surah 9,0.8932378,0.8513489,0.94655895,0.9058142,0.8989625,0.9269763,0.90790665,0.933289,1.0,0.9354811,0.9266926,0.8659686,0.94491184,0.9307886,0.8063026,0.9325279,0.8869383,0.8757521,0.9113042,0.9166136,0.9151552,0.8488821,0.7324723,0.9048517,0.88143474,0.8099402,0.9150468,0.8203989,0.92118883,0.91992855,0.90625167,0.9317906,0.9291947,0.8833783,0.93483245,0.79684293,0.8996883,0.9201162,0.93604124,0.91850907,0.86870253,0.9431958,0.8706161,0.9264468,0.9349671,0.91730976,0.8905462,0.8858365,0.9192071,0.80292785,0.7903017,0.91047543,0.8932109,0.8587909,0.8770637,0.6980321,0.9216792,0.91672313,0.9424562,0.9141845,0.9358309,0.8895817,0.9331144,0.9292819,0.9157215,0.9218962,0.8645906,0.92706794,0.8757497,0.89004886,0.87991345,0.8989297,0.8827673,0.88847184,0.85303277,0.7692852,0.6457238,0.74449617,0.8539137,0.8665135,0.76759475,0.75715333,0.83102846,0.8695858,0.863654,0.85394055,0.9257356,0.6140643,0.89554125,0.70013297,0.87556565,0.9057106,0.8657632,0.68910056,0.6367646,0.87831366,0.6283495,0.91604775,0.58147585,0.85067993,0.8297392,0.638306,0.5882281,0.8538876,0.59752345,0.6952925,0.6854186,0.5515331,0.7448357,0.870466,0.5507959,0.7737794,0.78026056,0.51721966
Surah 10,0.9013107,0.8310938,0.94994104,0.9380584,0.92269516,0.90489686,0.9406516,0.93109494,0.9354811,1.0000002,0.9539191,0.90086377,0.95603347,0.9528539,0.86317354,0.95473456,0.92860997,0.93452984,0.92848223,0.9337735,0.94725657,0.8594209,0.7448894,0.93083394,0.90141344,0.86331344,0.9427582,0.8471978,0.9596275,0.93115664,0.9367755,0.94123125,0.9582622,0.9308798,0.94113004,0.853366,0.9218689,0.9678029,0.9521531,0.94115275,0.9060963,0.94451845,0.90670395,0.9559269,0.93459255,0.92176396,0.9263531,0.86485785,0.933673,0.8730105,0.8163474,0.918256,0.943217,0.91547006,0.9192081,0.7387555,0.9284949,0.9492529,0.9643897,0.9256838,0.9589481,0.92220086,0.9600036,0.9121582,0.9374977,0.95373386,0.89096516,0.9495179,0.9140487,0.93841326,0.8714754,0.95744944,0.9034927,0.92212677,0.86183614,0.81809604,0.67244214,0.7584903,0.9047977,0.916152,0.78540814,0.7361447,0.87676644,0.8885282,0.8828168,0.89325243,0.9404698,0.6386535,0.91024864,0.727158,0.9022784,0.9308997,0.8684105,0.69962037,0.6551073,0.88337255,0.6212747,0.94547075,0.5915389,0.91437554,0.8902327,0.6096344,0.63791543,0.8967326,0.6289952,0.7267277,0.7279352,0.53485787,0.7467041,0.87547255,0.6204641,0.79523385,0.80262786,0.58646756
