,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,100.0,17.64322367394657,17.469778158457576,17.633107882876768,17.180738482065845,16.59970458687286,16.136608565797484,16.72810093362554,17.596650697791624,16.250062051312153,15.572833517191167,14.627466973711675,15.265507116438817,15.99033529149143,13.972041460031233,16.490804298977327,15.04031416358751,14.996362270637265,14.904622879694255,14.723561385444256,14.407940046920748,16.740804702198563,14.665084738757617,16.3686362035545,14.507090704222977,15.207132361921241,15.257869825425605,15.510796704237453,15.8366171887613,15.398514700721538,15.671503386637289,13.604318443507188,16.961740794174098,14.881120528459771,16.102741518432975,13.945630931270891,14.379723465131267,13.955056350584167,16.837680744965393,16.07762753008548,15.053713396919518,15.637242013666258,14.17885461277158,13.335593216663538,14.809749316250315,15.093585861039701,15.56342780300903,15.765070137577405,15.968961814769703,13.506138415893526,13.626376212915694,13.940000936534139,13.147153278507497,12.727878290414777,11.44196481469375,13.540279617047526,14.86085870455685,16.461721094958655,16.169465345386147,15.686761285842632,14.673940335998555,14.596832726045225,14.137794939163188,14.11913330761273,15.309928867717492,14.16180135558053,13.297411065617847,12.93605762326983,12.831474031042351,13.426972386629107,13.47150135253618,13.548032100219821,13.091193139449503,13.785670657503276,11.857534674627722,13.536150549883622,12.21773477733272,13.168453804074403,12.419350795729823,11.650348795727544,11.394350308164059,13.974359275666723,13.119607028285095,12.22890597271872,12.010807553338,11.469832048007781,11.639409875126736,11.870940316890435,12.447690147992008,11.930607107865999,12.609809671832462,10.680880324042715,10.077534465493123,9.639472369466379,12.652188932707523,11.29788069019503,9.580261299378428,13.694432819235253,9.912634474850817,10.022810206564404,10.588705332987917,9.414019703269405,11.00318991305105,11.787687723291377,10.811404592285154,9.33033231318384,13.323840592894468,8.82253505703592,9.357448616038743,12.473152401210271,9.65248749801889,13.669999314574067,9.10620178845957,9.053958412681734
Surah 2,29.071748591586566,100.0,40.163575689309376,34.62246978513187,40.25873408272171,32.611806927215085,31.736291039367003,37.54572784047765,33.60397564910713,34.38491073596407,30.31887927298565,25.170784514682694,31.25041046576811,31.719854901615474,23.646441480027097,36.45036292289441,24.563918502846313,22.49702637584078,22.433553136412687,24.08463533488441,25.455319383610043,33.69486317975113,26.446013599754593,32.36046155809961,25.859549245986603,27.013879933642855,26.729310992844653,28.3833592298112,35.355672428120585,34.12379411830771,31.78358156180049,28.741956673941065,27.81794267211245,30.14566309154815,29.736679791437247,28.560473487472958,21.655567578453145,20.801746513285288,31.665882624764485,32.6144442388471,30.299144615144897,35.369050429533026,29.06896371371409,25.563733113750526,36.93527125526393,29.249397011929783,30.76861428992852,24.27444986740429,32.28133213628741,18.795980362843373,24.503815468161662,21.880622495141402,19.186204668309063,15.799583447249582,9.436127907011988,16.5372470942842,35.03705917306964,37.87153607416229,31.29833108061283,30.924105804712614,35.258175562738245,39.602770896439225,29.232993894780172,34.9496383855625,30.355053998922855,26.660440047325974,24.107247912035017,22.780717496376298,18.00663275055925,17.96920816390626,20.672822755696224,18.695854019518183,23.298873880374114,19.921819278839354,12.534427186242247,16.661199123648228,14.107739173834533,17.3024677521103,16.581660743067168,13.331645518884983,16.659211603862467,19.854894326462663,20.83852245878323,20.08240861053438,24.804227146606255,17.677754795666047,15.506465549997323,14.74625556144745,13.731503306757178,15.03507718453534,15.016856708479159,16.05109796790201,14.314762647451227,17.011734264926577,13.507011602583704,12.860343420125192,25.839921517748106,32.01743239082208,13.645830004488339,10.520892758494067,11.381177631155332,10.737608127579044,22.886457192007395,11.149284390684453,10.647452103758347,9.23537124210684,13.541855629312064,9.333593769744908,29.371855286596606,16.393326189093568,12.736996343275125,20.999316375887286,17.603573500651734,28.458647471205456
Surah 3,19.78041484726744,35.3214814440602,100.0,30.068852004748443,36.66242053371377,30.302360127715804,27.221723957675753,36.19828390458713,31.304132933399785,31.379797474013095,27.398005374036856,22.341803722108324,28.630420209340368,28.11777672016995,21.703772125046537,31.759699502954387,21.173408037228807,20.781908020386382,20.899061108528638,20.05688804451135,22.81919340938394,30.13955203231721,23.951097107394414,29.48349110689245,21.729357558108802,24.528356125358105,23.51511489705473,23.922200949734616,30.3008580916445,27.879668734372014,28.06817322556937,26.085168770264904,23.852750199824722,25.143591697420238,26.49683808599917,22.87377657261723,18.44439368366056,21.505044792261625,30.11211274844601,30.795731755282613,24.6539333769094,32.22624633858368,26.013991858272785,23.21524065199937,32.81946739389835,28.83377948669744,28.22224179471094,22.09822340567224,29.298303373744496,17.800044529161283,21.55690498046671,19.884588167653035,19.666460162330132,14.43784615931733,8.909016492057392,14.846250728037583,35.3316233792636,31.938258083808403,30.353866596794727,30.459859753495316,36.10828769750716,40.11826959530001,24.57238696341092,33.49326345963849,21.813413621592094,25.00990932779914,21.292961698431924,20.226129123273093,15.894540216963337,17.042994250247876,18.039721793464487,16.437365372512474,18.505511141672258,17.314295289201866,16.343762821161263,13.880286022450598,14.41177659549183,14.269608284512458,14.124212633175667,13.150514341148304,16.596780836097874,21.126455586075092,19.887228296954635,19.07338119623842,23.261200952583387,13.43693315938739,16.68732193713427,16.92010029974373,13.971716395514216,15.052659240917029,14.28839042189399,16.71585527207068,14.890215499797188,11.610920558144034,15.19731349547685,12.27365999432281,13.689746333069344,28.74909130031203,14.049123540346887,11.927245270755158,10.302610954351636,11.076207044323526,19.25125753142563,9.045440462408544,13.823977625212198,9.780454768833652,11.166853790760044,7.4256283418802695,22.93729463805866,14.645726810594697,7.778969894321952,17.90187294841555,15.663395832996294,24.80825449327202
Surah 4,14.122858204275943,32.11863373328121,31.884083556596554,100.0,32.041129471125565,27.131225520190842,24.451124662141332,30.075927200465486,29.48766646900574,26.427389082499463,23.692717609491073,20.45325611293414,24.9489865586473,23.604233767689806,19.968526214101743,28.454458507178295,24.34523494871724,21.268563080209432,18.623807237699303,18.488429252413287,20.395497503566624,27.1246896773819,21.301438062909334,29.0171343874361,23.888580272073,18.623878475344974,20.483613324259696,22.21838039805359,27.006508174693412,25.173914536887633,24.373118087726787,21.483550628808715,30.843267490842237,23.42332135393431,26.02490889225111,20.360199866040812,17.054427817087443,17.386831555288353,25.706783635252556,26.474537119833762,22.187721706582536,28.583544950542482,20.658764493511057,18.776062475525315,24.91479922718436,24.026706334243208,27.34562397776102,29.353679221661288,28.077382900449987,16.345452825789064,20.036727071579566,18.46953841883014,17.436321538926727,14.498689379617469,9.081502738815589,12.721756903514864,27.7040793077551,33.19641127154426,24.961893035806632,31.477559125731425,27.19414105239652,27.43317100364986,28.489262804187614,28.302677463855435,26.140315023961353,21.078563049299465,17.035797809877373,18.891317985819718,14.623802136846454,16.896890223529752,19.481129210773585,16.858671249414297,20.430131388174022,17.83172049460396,14.395314354505093,15.507342596993595,14.338544196288375,14.083595003998283,12.700581614734793,14.37055607166872,16.605440550893245,21.550149391794104,16.883991984741577,19.623673363257954,20.336123051730688,16.460612466422525,14.572468302270348,14.724321608373744,12.497679092861862,14.938079313020516,12.825044609293935,13.794189946245112,11.455061675921455,12.957786611341888,14.104808302961116,15.375266910378793,14.799209781717407,35.58157763552053,22.992983565835637,10.015779723664519,10.093049265161044,13.288529594209168,28.65396859533016,11.488543116659278,11.079457294872954,6.873857473398198,12.388385007938762,7.417048150781542,18.609040060932777,19.288036331388188,10.784762928461726,22.034705793300482,15.724724485179348,18.061881586245864
Surah 5,15.704309046099366,33.48764086747161,34.34451075023392,28.77011152483673,100.0,29.260949364310733,27.29780776898083,31.640096673048646,30.218889620849897,29.216749217687955,27.765319891480832,22.530829816264763,25.878890100210704,27.322591576335974,21.210164431436148,30.472123748333118,20.715447628727976,21.886550464065362,18.926957230281047,20.22468838582045,21.405548235482435,29.646755415207277,23.402479809388563,29.635295823816982,21.971099388212217,24.161546939733803,23.437156382533374,24.08077707395795,28.794120663321554,25.63142029275875,26.140341478537426,23.462393173764408,23.87097036683134,26.303522790112538,24.86341595285139,23.628940651354217,20.60212042483352,20.25906968124652,26.633539738266588,27.387205104061135,24.110654637660407,30.403606361434406,24.15779334057274,23.06496701144872,28.50917911282012,28.391879446438494,25.981509284060028,24.40201447381681,28.693742498318553,18.740877701978047,22.721382495877663,19.64166075032959,17.399345322098647,15.591322660280591,9.059728217247287,15.16408377338696,31.41058353152148,34.15073498409513,30.410496465219605,31.733792877249407,36.926265868527715,32.51133727444914,28.224152794245505,33.93158378919486,23.234915889739185,22.16647421713656,21.59997027967682,19.375547052185592,16.297781779016706,16.498027359448542,19.55245609003412,17.234167443294844,16.44154842359726,19.20343524080898,12.464944689658681,14.639584364918937,13.068940938073093,15.652501069029778,13.250313166109443,13.65493406913971,17.83696818295872,18.686851494774405,17.176637019001877,16.637449426296534,24.100482626927626,15.437242258778053,13.193562914483328,13.906495923543794,14.230349061727448,14.789026609671636,14.405916605946576,13.051248095562379,11.708330393219175,13.133725155849174,14.432778262088085,13.945855456953069,12.3733904681711,31.691717137643405,13.423377965159764,9.55923150738373,9.599960007620096,9.083406351209627,16.536845154458778,11.753734635508719,11.244050328390367,9.996183024215432,12.529269626575761,7.664791571939776,23.831677808166823,17.07978861916143,9.847406939685763,17.960048673227472,15.92465321346619,21.216379648392767
Surah 6,18.432659241594813,30.465551449414548,30.5300094358794,26.816661094382393,30.041313282679788,100.0,30.626509389592112,28.07897828150746,26.098768577137974,35.51919137170837,29.605114501929435,25.457592714240196,29.032420741683275,27.126501322829345,24.0440965492691,33.68435575398722,23.65059974379717,23.550364971679457,20.680203685037718,21.446918709245338,26.894385110130166,27.71292057674482,26.473689788991845,26.016465572130343,24.007346478370287,25.708195486312803,26.695041059143254,27.32272654175862,31.348508655949153,30.936436463142968,26.196542767018755,28.215122211021093,20.313426919090396,29.575621009111263,27.343623108936093,27.26870605384189,21.923962187395,21.414564308994187,33.40678959564308,30.80694598102451,28.415953653793345,30.546921690495832,28.74576984300312,22.93553665018439,33.045184861402575,32.17218711417627,24.339347026844667,20.807622109554487,24.922903927517847,18.425503479307658,24.709404686408,22.582597045264542,21.42112492212959,15.542539273524522,9.59051530073996,16.13816255285232,26.081428257544104,28.027266315533655,26.079533549939,25.085314481142763,26.00325152038486,30.409134624762885,24.637936536884688,26.456199068074,20.85127702597317,19.296723404811182,21.635597540938864,23.710551766498288,15.563187308969251,17.921276934304487,19.148791604749203,18.058577298082213,17.548580919865742,19.48259772702029,15.510307738673134,15.516277599190895,16.192660808722582,16.443338178156193,14.02613411696452,14.761304594250094,18.72124138806986,18.03938420948385,19.490341280577475,16.86597409957022,20.536189328269355,16.895509633417262,16.889460506933677,15.141524367718167,15.089729049529693,15.113447212631897,15.836050729906958,14.081648383764009,12.616838385017084,10.726466945511536,15.242271525807613,14.806991202918237,13.620163111199762,25.432061393402854,15.322546609027722,12.081704500259148,9.491860014333804,15.225596155721268,13.12169050363746,11.795852184559669,12.802104365535872,8.528591583149323,14.162289902406059,7.5138759897730045,26.278498599494572,17.214265309925562,8.844278416012724,17.96806387099906,15.907395053991841,17.74947214243775
Surah 7,19.69974810811746,31.935232257794855,30.24117413950247,26.90840762098727,31.9544604264713,34.05788711187616,100.0,28.44672023711722,27.249886531043266,37.42380859219801,34.51454747067869,25.669442642988262,27.167805514259864,28.99879284716701,27.652211802146358,32.59293737509131,23.49084684046934,24.0829113848402,20.3194692940998,25.105077730273806,27.39552741625201,26.956532415974554,28.10620766087468,26.52301005443177,24.93094749089017,32.59898623611671,29.278921610125746,29.37958918750961,33.77597468723219,30.974032278967268,26.418430736986583,29.45816634547459,22.785794071930397,30.93049378218308,26.436773520482816,29.059604452507017,23.633483091230037,21.758779274636055,30.75508189930779,32.76322319960474,28.215223969602892,30.63363996751132,29.730245289225603,23.987342031492222,32.3972787008911,31.376377012026087,24.922382296357892,20.97970898271232,25.101132730626084,18.004509700979348,27.01580994294123,22.309291246014627,19.750439105319888,19.44538301832899,18.72837392280432,15.13873361626596,27.408649971205083,29.78861237735923,26.01906222263674,25.168558013641672,28.291326238484952,28.090091126878058,27.365360973615616,23.88193718668171,19.51994180336917,20.725547169860175,21.01744659866016,22.422265692161123,16.79264276783477,17.09468943381753,21.06303552708094,18.488018723304595,19.488808087272172,17.171993587730466,14.357281271414148,16.14125292064294,16.329828352694562,15.534581215671178,15.195259444711287,12.87705804451415,18.97162759477101,19.608606835356426,19.257810435706624,19.066627800007364,20.377961455624398,15.329524825807471,16.090741599529522,15.586521243267526,14.055644824920007,16.836089365170167,17.089697857499424,13.478041421698267,11.68923152908376,13.082248534502877,16.325080736717613,12.443808178032073,19.895468147853006,27.775552924201712,14.15486599923341,11.832934813413914,15.108051355863688,11.174921058214268,15.865269147037358,11.632882966664463,14.228498194202674,8.347611482897541,11.233310795661971,7.442055920397182,18.867244193390462,19.306531523196437,10.76858699804009,14.042603460402594,17.947044060142787,24.806775427867166
Surah 8,15.224932849415321,24.568355534675533,25.499286518179403,23.173221821508363,24.394618367989732,21.186956297166542,19.156099428150075,100.0,25.56055069826087,21.171910283275903,20.61981018459743,16.960417174451024,18.68824153435397,20.15330054828767,15.744313707155788,21.921053825794512,16.50817743566007,15.966489035747594,14.94438502222359,14.367898694014,16.887688049070633,24.359336650294917,17.347249854668963,23.270661786432946,15.802062981862253,18.182649389866842,17.686242383616875,17.056009954673648,20.40307133232342,19.703069127863003,20.010679909665548,17.892392849634472,21.13535861777009,20.20505634125144,20.174493605010866,16.795252094237505,14.76689650123637,15.813129786437793,19.957524043048775,21.686796045749976,19.429505035746367,21.00885916168303,16.427960664828294,16.67413891274716,20.09102811562162,19.413852185018253,23.244071500467594,17.66924392012734,27.14092683771125,13.87097497472494,17.41978117229427,16.4118051301991,15.272386705169746,12.231664365187864,8.884097995435427,13.072612940880656,22.418387562347487,26.045383628658524,21.525271013312384,24.169044491959667,20.22664289838534,24.091242929759943,21.952017867511746,24.757642559437866,18.168145478009958,19.973625438001562,14.513293220950846,15.773171072839576,14.055348258905772,16.31912482062607,14.956332576353109,13.884997915742694,15.193590287946911,14.853294854906101,11.47415347905922,12.304975575368683,13.739414652602413,12.156317042333875,11.797487953934064,11.721783587669464,15.838316232987129,17.931181103207063,18.16399237072044,14.789583313573196,16.390261685057183,14.517771036986044,12.128380067528585,11.620363419111328,12.0518128877585,11.762311951680742,12.759045896540844,11.309679233158771,11.763799016167962,10.334591093087523,12.25577949712187,10.519690551399503,13.352226029100636,16.38300712468831,16.430446505876912,11.1712883795039,10.20877579668817,12.044223317106347,11.742558399625496,9.055874249855874,9.545182043005191,10.658578820815213,10.756871019714579,6.153325571988315,12.208374789778983,16.00655955062082,10.583014932555672,19.328975387139796,14.394412083858882,12.015583475490452
Surah 9,17.354894477935904,27.64773666225706,29.211565091000185,26.398513806817004,28.7780064301005,24.158394577081623,21.759551918896175,29.524149132812404,100.0,24.307565635079452,22.515029777202866,18.735604290143428,22.593732926099197,21.424319922522844,17.469131876498444,25.30013576296219,18.074006629611056,18.207139325635325,15.97598156494511,15.404645594407077,18.85453788509747,23.79949708961835,20.68674124005883,27.492873149020642,18.798373643450805,17.6800708528707,18.801386849829438,19.459226773964204,25.374401767093495,24.310363967751076,22.44727975436131,19.972579754383492,24.155973477913008,20.97666349041844,22.5845562918059,18.580073316933337,17.10806224540563,16.310562067294015,23.71628749303107,22.59020825720045,21.290973463467243,25.561954553638078,19.305357092660337,18.232140546877705,24.664145962534178,22.188341190501117,24.59702536956883,26.388333736124924,26.993325181964384,15.16359096059538,19.328490943263052,17.57423371946954,15.796995682428234,13.511045793762161,8.845352437337379,14.489312733007399,27.53906014386502,32.3879630228932,28.03267788705204,26.293334779980288,32.25807374352918,26.30979611295296,31.56721778307256,30.305968939421334,20.659290849417083,21.986256595545804,16.921003361259512,16.84426012679834,13.940772262335399,16.182274555952212,15.456672013487369,16.16565341052865,15.655071536982954,18.15530535765299,10.983206881186879,13.907256077468814,11.915704914185035,13.289353690299603,11.943168897069727,11.709102800534133,16.89018030262059,16.432816585943552,17.25977062883214,15.867914928608695,22.363545421413782,14.2690825319571,14.509842005261692,10.679682373336608,11.84211252774133,14.97939468766582,13.273357251790122,12.71598962999067,11.777830400355674,10.768441915330845,12.489845110584765,11.644988171643393,13.712818082385091,34.844885105337205,11.627887545241094,8.967602087916125,12.185222671439885,10.193010050708242,9.110158548096704,10.986003475375096,10.210603412293915,8.485105566797726,11.435969529349904,7.66207098844235,21.161404237397452,17.067852337414315,8.897235464960602,18.53960827895379,15.874287704016176,24.13417340738738
Surah 10,22.353726364366437,27.582050085866772,27.915209056455026,23.81295984054182,27.286461266452104,30.673234836211748,28.657761192081715,25.125773401355318,24.621482334327453,100.0,28.118943439674116,22.013012498603043,27.2598740070783,26.16108168956508,21.200773216794257,28.97392736759903,21.596957185712373,20.88960699301183,19.358713404980847,20.226787634963138,22.846546969366017,25.242771534104296,24.903470896850717,23.24988504548915,21.895019067165876,25.585582787495696,25.28625212774522,25.3331718340482,28.425097232449918,30.40752100677777,26.329966450440374,26.324469911648666,19.895390159455264,28.51904816209284,25.921236277312055,23.719679293824868,20.33756503829621,19.16172152994641,29.998001857781293,30.44884244897047,24.97225275845662,30.01001285445199,24.27073673436742,22.43056260749789,32.58052313185076,29.80089755456092,22.928987722116744,18.891746890264386,21.59355310150317,18.06160011377073,23.806559470696207,21.781734545538857,18.435850613457184,15.168063931334414,10.097248685190735,15.105970735178412,25.163723960898416,24.753660081940236,22.835861280994806,23.279838961216136,28.15970579681583,28.137108758714618,21.745830661962597,22.441010200629044,17.717725058162753,18.983655332376024,20.93967413025942,20.337859830353217,14.701654750411278,17.2806454181178,18.76496829590291,15.540580003594917,16.33540287448108,17.92669517637735,14.428408488698924,14.82828798600747,11.959543163213175,14.014864948573443,14.303808891953175,12.6035524210319,18.432917398800793,20.06957401347613,18.715324175674393,18.128792539217358,22.66216464327682,16.28693549978351,15.19732520103969,12.539788295376017,12.789894347998064,13.69106562439121,16.577731409420654,13.779716795982363,11.628100514537612,10.025224475664482,17.25035714044622,14.260338508362738,14.22679538657386,24.221759626933796,17.339269418721095,14.78177258125037,9.989620125980695,10.554021606162097,24.69400562925741,10.45257907083803,9.372072483971728,8.850330119546971,11.900918996477806,5.95396100488146,33.37406467282694,18.119098241600227,9.216826384451064,12.087650166455028,16.44695003057403,19.411399246035092
