,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
1,100.00,91.87,92.64,91.64,91.29,91.69,93.47,91.06,91.16,92.01,92.05,92.86,90.18,90.48,94.52,93.00,92.88,92.29,94.06,94.65,93.03,92.26,92.46,90.31,93.87,95.43,92.56,92.69,92.43,92.18,92.70,90.37,92.33,92.56,92.89,92.91,95.25,94.31,90.55,92.97,92.83,90.52,93.97,94.29,91.79,91.33,89.66,92.40,90.21,93.25,94.57,93.25,93.23,93.05,94.14,94.74,89.27,88.29,88.82,88.95,87.99,87.85,87.33,89.39,87.37,87.86,90.89,93.86,92.95,93.60,90.26,90.49,91.37,91.77,93.48,92.75,92.71,93.18,93.70,92.70,90.83,91.15,92.58,91.13,91.96,91.10,92.75,90.30,91.90,93.31,88.49,92.82,90.05,84.48,91.80,91.81,88.39,88.91,90.05,90.59,88.74,91.10,87.97,91.49,85.39,86.74,92.40,84.31,79.84,86.08,84.79,84.13,91.04,88.03
2,90.46,100.00,96.17,96.18,96.02,96.17,96.21,95.72,96.03,95.77,96.00,95.57,95.30,95.23,94.25,96.03,95.62,95.38,95.19,95.56,95.74,95.32,95.13,95.50,95.15,94.83,95.51,95.63,95.55,95.47,94.88,94.41,95.51,95.27,95.01,94.77,93.90,94.92,95.46,95.52,95.44,95.34,95.48,94.18,95.19,95.35,95.19,94.86,94.47,93.55,93.89,94.42,93.61,92.86,92.37,91.88,94.77,94.45,94.61,94.11,93.66,94.31,93.99,94.51,94.21,93.78,94.78,93.46,92.36,92.20,93.23,92.53,92.46,92.33,90.73,92.79,91.44,93.18,92.65,89.75,90.00,88.59,91.76,90.34,92.20,84.82,89.87,89.03,92.04,89.48,86.38,90.21,88.15,74.04,87.36,88.66,87.43,92.88,87.64,86.86,88.09,86.65,88.31,88.60,83.02,83.30,89.58,77.87,71.91,87.51,83.99,82.77,89.47,86.58
3,90.24,96.11,100.00,95.71,95.55,95.60,95.49,95.21,95.44,95.29,95.43,95.02,94.73,94.79,93.47,95.60,95.14,94.66,94.76,94.92,95.05,94.97,94.80,94.89,94.63,94.21,94.90,95.11,94.91,94.94,94.40,93.59,95.21,94.56,94.59,94.12,93.43,94.49,94.98,95.17,94.76,94.91,95.02,93.67,94.63,94.61,94.58,94.46,94.10,92.62,93.62,93.65,92.81,91.88,92.03,91.03,94.44,93.97,94.22,93.65,93.28,93.63,93.17,93.90,93.66,93.43,94.04,92.81,92.00,91.81,92.55,91.98,91.33,91.90,90.56,92.54,90.64,92.72,92.23,89.59,89.98,88.37,91.05,90.03,91.92,83.84,89.40,88.69,92.00,88.59,85.85,89.87,87.61,72.93,87.37,87.72,87.37,92.27,87.49,86.32,87.06,85.87,87.43,87.51,82.25,81.85,88.95,77.20,71.37,86.85,83.73,83.16,88.51,86.39
4,90.63,96.41,96.22,100.00,95.91,96.17,96.12,95.72,96.08,95.79,95.91,95.42,95.24,95.43,94.15,96.17,95.61,95.35,95.15,95.48,95.69,95.60,95.34,95.54,95.20,94.75,95.40,95.66,95.53,95.50,95.02,94.26,95.75,95.25,95.23,94.85,94.08,95.02,95.56,95.64,95.24,95.44,95.43,94.26,95.25,95.29,95.35,95.11,94.76,93.18,94.12,94.49,93.50,92.63,92.48,91.56,94.93,94.61,94.74,94.25,93.62,94.37,94.02,94.63,94.24,93.93,94.60,93.56,92.39,92.44,93.55,92.87,92.23,92.39,91.10,93.13,91.43,93.31,92.70,90.15,90.57,88.79,91.75,90.54,92.50,84.70,89.96,89.20,92.54,89.14,86.36,90.48,87.90,73.16,87.90,88.24,87.74,93.13,88.34,86.78,87.74,86.51,88.11,88.56,83.07,82.99,89.58,77.32,71.40,87.59,84.34,83.14,89.08,86.94
5,90.61,96.84,96.46,96.34,100.00,96.47,96.41,95.90,96.37,95.98,96.27,95.86,95.59,95.65,94.36,96.25,95.79,95.56,95.55,95.99,95.85,95.82,95.44,95.81,95.37,94.82,95.56,96.10,95.93,95.71,95.41,94.98,95.90,95.72,95.56,94.92,94.15,95.37,95.67,96.09,95.64,95.66,95.71,94.48,95.48,95.74,95.43,95.15,94.97,93.53,94.36,94.55,93.81,92.80,92.56,91.61,95.25,95.15,94.97,94.49,94.09,94.67,94.15,95.13,94.57,94.26,94.94,93.47,92.66,92.10,93.51,93.05,92.45,92.73,90.93,93.13,91.51,93.31,92.71,89.84,90.64,88.61,91.92,90.43,92.65,84.19,89.81,89.06,92.53,89.77,86.54,90.62,88.25,73.18,87.72,88.33,87.61,93.43,87.56,86.68,87.73,86.84,88.60,88.61,82.91,82.87,89.58,77.38,71.33,87.33,84.25,83.42,89.32,86.64
6,90.53,96.37,96.16,96.02,96.04,100.00,96.40,95.59,95.94,95.92,95.95,95.79,95.38,95.31,94.28,96.09,95.82,95.61,95.29,95.80,95.79,95.40,95.41,95.37,95.45,94.96,95.51,95.79,95.69,95.54,94.97,94.58,95.51,95.62,95.10,95.07,94.18,95.17,95.57,95.65,95.40,95.60,95.45,94.21,95.06,95.48,95.11,94.84,94.38,93.84,94.15,94.38,93.71,93.17,92.72,92.18,94.63,94.44,94.69,93.86,93.45,94.11,93.85,94.46,94.16,93.54,94.87,93.48,92.62,92.35,93.19,92.91,93.07,92.54,91.29,93.18,91.57,93.29,92.74,90.16,90.28,88.25,92.19,90.49,92.49,85.26,90.02,89.73,92.37,89.37,86.96,90.84,87.82,74.10,88.20,88.69,86.68,92.89,87.81,87.45,88.39,86.86,88.16,88.77,83.58,83.63,89.72,78.08,71.37,87.63,84.62,83.04,89.97,86.71
7,89.75,95.62,95.10,95.08,94.97,95.44,100.00,94.70,94.77,95.06,95.28,94.88,94.31,94.26,94.15,95.19,95.04,94.88,94.64,95.01,95.11,94.09,94.87,94.06,94.73,94.80,94.88,94.95,94.60,94.37,93.48,93.40,94.36,94.54,94.14,94.48,93.84,94.62,94.48,94.80,94.68,94.30,94.96,93.56,94.13,94.37,93.97,93.64,92.88,93.50,93.51,93.81,92.50,92.76,91.72,91.92,93.33,92.83,93.71,92.27,91.57,92.58,92.73,93.04,92.21,91.96,93.82,93.45,92.08,91.93,92.64,92.21,92.01,91.88,90.78,92.37,90.79,92.07,91.96,89.42,89.04,87.84,91.93,90.37,91.50,85.76,89.49,88.83,91.18,89.71,86.72,89.89,86.88,76.11,87.44,88.31,85.84,91.38,87.25,86.87,88.37,87.08,88.10,88.13,83.93,84.57,88.95,78.59,71.94,87.17,82.96,80.99,89.05,85.65
8,90.74,96.50,96.49,96.33,95.92,96.08,96.06,100.00,96.17,95.78,95.89,95.58,95.04,95.48,94.09,96.11,95.58,95.13,95.24,95.55,95.53,95.56,95.47,95.56,95.32,95.11,95.41,95.58,95.44,95.64,94.83,94.39,95.62,95.33,95.17,94.60,94.16,95.04,95.35,95.59,95.31,95.48,95.38,94.11,95.10,95.39,95.48,94.97,94.73,93.32,94.53,94.61,92.83,92.39,92.01,91.23,94.75,94.66,94.54,94.20,93.71,94.14,94.45,94.89,94.13,93.92,94.88,93.70,92.75,92.67,93.95,92.56,92.27,92.03,90.91,92.91,91.41,92.71,92.72,90.02,89.94,88.67,91.84,91.17,92.69,84.57,89.29,88.94,92.29,89.30,86.70,90.04,87.89,74.06,87.51,88.29,88.02,93.00,88.08,86.74,87.64,86.50,88.68,87.50,83.62,83.32,89.75,77.93,72.48,88.03,83.74,82.73,88.78,86.59
9,91.13,96.83,96.72,96.74,96.60,96.71,96.54,96.42,100.00,96.27,96.32,95.85,95.86,95.98,94.58,96.49,96.13,95.95,95.58,95.94,96.10,96.15,95.67,96.16,95.76,95.15,95.79,95.99,96.14,96.14,95.57,95.17,96.21,95.85,95.73,95.52,94.58,95.57,96.32,96.24,95.62,96.05,95.89,94.76,95.90,95.92,96.03,95.81,95.34,93.92,94.57,95.10,93.96,93.34,93.01,92.01,95.59,95.43,95.44,94.79,94.61,95.17,94.91,95.57,95.09,94.60,95.29,94.01,92.99,93.08,93.81,93.28,92.85,92.87,91.28,93.78,91.70,93.54,92.99,90.55,90.69,88.31,92.39,90.99,93.44,84.97,90.29,89.87,93.65,90.33,86.64,90.87,87.63,72.24,88.37,88.45,87.97,94.18,88.54,87.43,88.22,86.64,89.06,88.62,83.89,83.64,89.89,76.84,70.40,87.37,85.03,83.58,90.00,87.65
10,89.80,95.85,95.55,95.37,95.21,95.69,95.65,94.81,95.23,100.00,95.62,95.03,94.58,94.58,93.85,95.36,95.11,94.78,94.59,95.02,95.37,94.68,94.63,94.81,94.76,94.53,95.11,95.00,94.79,94.79,93.76,93.93,94.72,95.01,94.32,94.30,93.46,94.26,95.02,95.18,94.83,94.58,94.88,93.52,94.66,94.89,94.28,94.08,93.65,93.01,93.60,93.84,92.95,92.19,91.52,91.61,93.83,93.44,93.99,93.35,92.55,93.20,93.13,93.50,92.96,92.72,94.11,93.01,91.89,91.75,92.48,92.21,91.92,91.87,90.72,92.36,91.10,92.69,92.00,89.60,89.51,88.35,91.49,89.97,91.26,84.86,89.35,88.88,91.21,88.50,85.77,90.10,87.62,74.54,87.51,88.23,86.51,91.96,87.36,86.31,87.87,86.37,87.38,87.93,82.74,82.93,89.10,77.75,71.93,87.14,83.26,81.77,88.56,86.04
