,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,100.00,0.00,0.00,0.00,0.04,0.03,0.03,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 2,0.00,100.00,3.36,1.64,2.58,1.10,1.56,1.33,1.63,1.23,0.72,0.31,0.97,1.12,0.15,1.52,0.26,0.41,0.17,0.56,0.24,1.21,0.34,1.21,0.29,0.18,0.35,0.55,1.04,0.58,0.89,0.30,0.43,0.42,0.53,0.27,0.09,0.15,0.66,0.67,0.31,0.79,0.15,0.11,0.70,0.30,0.43,0.29,0.49,0.05,0.05,0.03,0.11,0.00,0.02,0.03,0.84,0.70,0.69,0.41,0.44,0.52,0.26,0.61,0.46,0.19,0.11,0.06,0.00,0.03,0.08,0.00,0.24,0.10,0.00,0.03,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.03,0.18,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.03,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 3,0.00,3.36,100.00,1.44,2.85,0.99,0.62,1.95,1.78,1.10,0.64,0.38,0.72,0.93,0.07,1.39,0.16,0.28,0.66,0.31,0.19,1.07,0.24,1.85,0.23,0.28,0.59,0.59,0.93,0.71,0.88,0.24,0.61,0.39,0.83,0.19,0.23,0.29,0.89,0.73,0.28,1.14,0.33,0.16,0.94,0.59,0.66,0.60,0.77,0.03,0.03,0.00,0.18,0.00,0.05,0.05,1.56,1.13,0.90,0.50,0.85,0.97,0.33,0.79,0.37,0.38,0.11,0.05,0.00,0.03,0.05,0.00,0.16,0.08,0.00,0.05,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.11,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 4,0.00,1.64,1.44,100.00,1.74,0.62,0.46,0.78,1.05,0.67,0.25,0.24,0.35,0.67,0.07,0.78,0.44,0.34,0.35,0.36,0.19,0.80,0.17,1.09,0.40,0.13,0.15,0.37,0.41,0.45,0.62,0.07,1.56,0.29,0.54,0.07,0.07,0.14,0.48,0.49,0.25,0.66,0.02,0.07,0.39,0.16,0.67,0.91,0.55,0.00,0.02,0.08,0.22,0.00,0.05,0.00,0.76,0.71,0.54,0.40,0.31,0.21,0.39,0.54,0.53,0.15,0.03,0.05,0.00,0.03,0.08,0.10,0.23,0.05,0.00,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.21,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00
Surah 5,0.04,2.58,2.85,1.74,100.00,0.85,0.56,1.20,1.84,0.88,0.55,0.20,0.54,0.94,0.06,1.33,0.02,0.14,0.27,0.34,0.20,1.14,0.13,1.35,0.41,0.18,0.28,0.54,0.69,0.39,0.87,0.16,0.76,0.49,0.50,0.09,0.22,0.37,0.86,0.45,0.28,0.93,0.19,0.10,0.46,0.58,0.45,0.84,1.02,0.06,0.06,0.03,0.19,0.00,0.00,0.00,1.35,1.58,1.40,0.96,0.90,0.68,0.51,1.26,0.58,0.43,0.16,0.03,0.00,0.07,0.13,0.13,0.17,0.20,0.00,0.07,0.07,0.07,0.00,0.00,0.03,0.00,0.07,0.10,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 6,0.03,1.10,0.99,0.62,0.85,100.00,1.97,0.55,0.62,3.02,1.60,0.83,0.87,0.57,0.21,2.12,0.98,0.84,0.19,0.31,0.58,0.54,0.96,0.52,0.64,0.30,0.89,1.23,1.27,0.84,0.46,0.54,0.18,0.89,1.02,0.83,0.25,0.28,2.39,0.94,0.45,0.85,0.53,0.20,0.72,1.30,0.22,0.08,0.14,0.20,0.11,0.14,0.46,0.00,0.06,0.06,0.43,0.25,0.33,0.03,0.27,0.27,0.18,0.38,0.12,0.06,0.34,0.12,0.00,0.03,0.06,0.03,0.09,0.15,0.00,0.09,0.03,0.06,0.00,0.00,0.12,0.00,0.00,0.00,0.03,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 7,0.03,1.56,0.62,0.46,0.56,1.97,100.00,0.20,0.53,2.32,1.91,0.70,0.52,0.83,0.35,0.95,0.34,0.65,0.18,0.89,0.51,0.35,1.01,0.23,0.54,2.06,1.36,0.62,1.41,0.60,0.31,0.40,0.22,0.80,0.46,0.34,0.24,0.44,0.95,0.99,0.60,0.47,0.79,0.27,0.42,1.00,0.21,0.10,0.08,0.05,0.08,0.16,0.19,0.00,0.06,0.08,0.51,0.23,0.29,0.08,0.28,0.23,0.23,0.28,0.11,0.03,0.14,0.33,0.06,0.00,0.11,0.05,0.06,0.08,0.00,0.06,0.09,0.03,0.08,0.00,0.12,0.00,0.00,0.09,0.14,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 8,0.00,1.33,1.95,0.78,1.20,0.55,0.20,100.00,1.62,0.51,0.38,0.10,0.65,0.47,0.05,0.45,0.10,0.07,0.18,0.04,0.04,1.85,0.17,1.09,0.09,0.17,0.33,0.33,0.58,0.24,0.88,0.24,1.11,0.42,0.78,0.15,0.00,0.15,0.69,0.57,0.39,0.61,0.05,0.50,0.23,0.58,0.78,0.22,1.63,0.06,0.00,0.13,0.00,0.00,0.00,0.00,1.09,0.87,1.42,0.87,0.20,0.56,0.49,0.94,0.45,0.40,0.38,0.00,0.00,0.07,0.00,0.06,0.14,0.13,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 9,0.00,1.63,1.78,1.05,1.84,0.62,0.53,1.62,100.00,0.50,0.59,0.47,0.59,0.65,0.03,0.90,0.07,0.17,0.03,0.28,0.05,0.80,0.22,1.16,0.23,0.05,0.22,0.35,1.12,0.63,0.56,0.21,0.71,0.26,0.39,0.09,0.09,0.28,0.70,0.56,0.27,0.89,0.24,0.17,0.43,0.28,0.66,0.98,0.74,0.03,0.07,0.04,0.10,0.04,0.00,0.07,1.04,1.22,0.95,0.56,1.45,0.67,0.86,1.10,0.50,0.73,0.18,0.07,0.00,0.00,0.04,0.11,0.22,0.14,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Surah 10,0.10,1.23,1.10,0.67,0.88,3.02,2.32,0.51,0.50,100.00,1.73,0.65,1.64,1.17,0.24,1.76,0.57,0.95,0.28,0.52,0.52,1.02,0.65,0.65,0.68,0.96,1.93,1.23,1.43,2.07,1.44,1.47,0.31,1.89,1.30,0.42,0.37,0.15,2.10,1.92,1.00,1.31,0.51,0.49,1.61,1.51,0.33,0.16,0.45,0.09,0.09,0.18,0.76,0.05,0.14,0.18,0.81,0.72,0.60,0.31,0.47,0.48,0.14,0.47,0.18,0.00,0.49,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.00,0.05,0.05,0.00,0.10,0.00,0.05,0.00,0.00,0.10,0.25,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
