,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,100.00,79.59,87.32,83.91,82.67,85.67,84.06,84.42,85.66,85.85,84.08,78.64,86.91,85.95,78.52,85.37,82.77,83.49,85.78,84.46,84.01,79.23,78.27,85.41,85.30,78.85,85.64,79.69,85.74,84.38,87.43,84.70,85.22,83.64,86.19,81.95,87.52,85.27,85.63,83.43,80.23,86.41,80.88,85.60,86.82,83.29,85.06,84.20,85.76,77.71,81.52,85.26,84.11,80.10,83.13,72.51,85.74,84.62,86.53,83.54,87.69,88.44,85.19,86.59,85.86,86.24,84.99,84.85,82.11,84.48,82.62,84.34,86.97,87.19,85.18,82.46,73.14,80.78,83.46,84.85,84.13,81.06,82.61,88.08,85.21,86.35,90.31,72.49,62.99,77.28,87.69,62.73,85.97,77.59,75.93,85.30,75.30,87.69,68.45,86.57,85.92,68.64,73.72,85.98,68.31,77.35,79.40,63.31,80.59,88.47,69.08,82.34,82.45,69.11
Surah 2,79.59,100.00,87.95,81.28,81.71,87.32,86.39,90.73,88.38,87.10,83.48,80.41,89.06,83.54,80.06,84.30,78.89,82.99,83.65,84.14,85.48,79.23,89.90,84.45,82.07,85.00,89.04,78.71,88.61,86.00,90.47,87.00,84.40,82.91,85.38,86.43,87.74,85.25,87.63,81.38,80.23,87.70,80.60,85.38,87.33,84.83,85.29,85.87,85.84,76.68,81.65,87.14,83.67,79.35,82.32,76.60,84.46,84.70,88.07,87.67,83.99,84.46,86.22,87.70,83.34,84.41,82.50,83.31,76.38,79.00,80.51,81.69,82.83,82.21,81.56,77.01,72.67,77.06,77.31,78.93,77.94,80.61,82.03,83.94,84.05,76.47,80.76,62.40,61.46,72.94,76.67,58.90,80.11,63.31,65.79,83.13,62.75,82.99,62.57,74.44,72.31,69.72,63.20,76.51,58.08,68.67,67.45,57.09,77.63,79.34,57.02,67.44,67.24,52.78
Surah 3,87.32,87.95,100.00,93.59,94.03,95.20,92.90,94.50,95.35,95.54,95.84,89.49,97.01,96.42,85.90,95.70,92.29,93.20,93.28,94.63,94.97,90.70,80.25,95.33,92.44,85.48,93.93,85.79,94.52,94.12,94.03,94.72,95.28,93.49,96.09,86.61,94.33,95.00,95.65,95.66,90.94,96.76,89.74,94.76,96.06,94.70,94.60,90.97,94.13,85.05,85.94,94.14,94.64,89.80,89.34,77.82,95.84,94.82,96.38,93.07,95.60,91.42,94.25,95.17,94.28,93.73,91.77,95.08,90.64,92.68,88.08,92.31,90.99,93.49,87.82,83.74,72.82,77.50,89.66,90.09,80.96,80.35,87.71,88.76,89.58,87.89,92.23,69.29,68.19,75.08,87.17,68.35,81.97,68.76,69.35,86.33,68.13,90.29,64.15,85.11,82.77,63.37,63.60,86.00,62.91,70.13,69.19,56.23,72.90,84.25,64.19,75.62,74.25,57.56
Surah 4,83.91,81.28,93.59,100.00,95.83,90.11,93.53,92.96,91.76,94.11,95.69,91.61,94.79,93.87,88.16,96.51,93.87,91.07,91.51,92.61,93.72,89.66,75.18,93.96,90.74,84.34,92.60,83.30,92.51,92.86,90.68,93.54,96.54,91.02,93.96,83.74,89.85,94.86,93.98,94.38,93.18,94.59,92.55,94.08,93.31,93.57,91.32,87.05,93.86,85.87,83.31,89.10,91.80,90.75,89.27,75.63,92.82,95.93,93.28,92.73,93.59,86.75,93.17,90.91,94.02,94.86,88.66,95.41,93.59,92.44,85.71,93.75,91.99,92.27,83.51,80.53,66.65,80.95,90.51,90.90,76.16,73.71,84.17,85.29,83.83,86.86,89.52,66.52,66.30,74.79,85.46,67.92,76.40,64.27,66.58,81.32,61.52,89.51,59.14,84.67,82.67,56.35,57.55,84.58,57.58,68.96,63.47,53.32,69.74,78.03,65.29,71.06,69.83,53.13
Surah 5,82.67,81.71,94.03,95.83,100.00,88.82,93.27,93.29,92.04,93.50,96.72,91.84,94.95,95.10,89.49,96.74,93.47,91.21,89.93,94.17,94.17,89.92,71.99,94.31,88.00,82.72,93.68,82.54,93.25,93.58,91.52,94.22,95.60,91.45,94.02,85.53,89.59,94.96,93.69,96.06,94.75,95.35,92.20,94.39,94.24,94.53,91.96,86.54,94.90,85.34,82.55,89.45,92.23,92.07,88.07,73.31,92.77,94.30,92.91,94.56,94.51,85.17,93.80,90.02,95.14,93.26,86.29,96.41,93.79,92.31,85.20,93.68,91.22,91.87,83.43,78.45,66.40,76.38,90.98,91.47,74.15,72.70,85.09,83.10,84.11,86.39,88.17,63.84,64.40,73.68,83.59,67.32,74.23,59.67,67.66,78.86,60.37,88.96,54.59,82.52,82.68,54.86,57.58,86.23,54.02,68.65,62.95,54.48,66.77,75.28,62.81,67.72,67.20,52.12
Surah 6,85.67,87.32,95.20,90.11,88.82,100.00,89.59,91.20,93.55,92.41,91.28,85.81,93.86,92.44,82.78,92.26,88.69,89.79,91.69,91.57,91.38,87.18,78.83,90.52,92.32,84.06,90.48,84.29,91.14,91.42,90.66,92.11,91.84,91.61,94.54,82.89,92.33,91.28,92.02,90.78,85.73,93.82,86.80,91.57,93.53,92.55,90.84,90.77,89.71,84.75,84.00,91.17,91.00,85.48,88.82,75.74,94.84,91.56,94.69,89.21,92.24,91.09,91.10,95.72,89.78,91.07,91.43,91.23,86.37,88.60,87.30,88.33,87.95,90.33,86.66,83.90,71.76,79.55,84.88,87.03,81.00,79.71,83.83,88.20,87.68,86.19,90.78,69.02,67.50,75.47,86.38,65.77,82.60,69.51,69.54,86.84,68.96,86.59,66.27,83.83,78.73,67.70,61.98,82.47,63.36,70.04,67.60,56.08,71.83,84.90,64.88,75.10,73.66,56.76
Surah 7,84.06,86.39,92.90,93.53,93.27,89.59,100.00,93.35,92.31,94.78,94.28,92.55,95.15,94.19,91.44,94.65,92.74,91.57,92.61,93.66,94.03,89.08,80.32,93.88,88.54,89.36,93.24,86.70,94.03,92.52,92.08,94.24,94.72,90.03,91.72,89.20,92.14,95.48,93.50,92.59,92.36,93.45,92.78,95.38,93.43,92.43,92.04,89.29,94.13,89.54,87.82,91.85,93.43,91.40,89.59,80.68,91.40,94.06,95.27,93.37,93.32,87.86,93.87,90.23,94.10,94.27,88.61,93.28,92.00,91.13,87.66,94.82,91.98,92.65,86.15,83.30,73.31,82.56,91.41,90.53,79.79,78.27,87.13,87.07,87.48,86.64,89.51,68.67,67.20,77.56,85.20,65.22,79.22,69.24,69.36,83.11,64.85,91.00,62.88,85.09,82.70,64.77,61.73,82.92,63.66,73.53,67.97,57.25,74.68,80.85,63.82,71.93,70.83,59.26
Surah 8,84.42,90.73,94.50,92.96,93.29,91.20,93.35,100.00,94.65,94.31,94.73,88.77,95.25,93.24,86.74,94.94,90.13,91.02,91.00,91.53,92.97,87.81,82.61,93.33,88.21,83.31,94.34,82.48,95.69,93.61,92.90,93.61,95.59,90.03,93.48,85.79,89.40,93.22,95.55,93.16,92.24,96.00,90.26,93.23,94.06,92.95,93.07,90.47,95.41,82.73,82.27,91.04,90.56,87.89,87.40,73.73,92.50,94.27,94.05,96.07,94.02,88.43,94.29,93.00,92.75,93.30,86.58,94.32,88.72,89.33,86.34,91.53,88.90,89.65,84.28,77.54,69.26,76.94,87.10,87.41,75.65,75.41,84.56,85.85,87.29,83.30,88.94,61.99,64.53,72.62,82.71,66.23,78.07,61.76,65.45,85.21,60.75,89.89,58.34,81.43,78.88,60.84,60.83,83.00,55.86,68.13,65.48,52.66,75.14,81.96,59.04,70.59,67.74,51.48
Surah 9,85.66,88.38,95.35,91.76,92.04,93.55,92.31,94.65,100.00,94.58,93.93,89.46,95.23,94.00,84.95,94.51,90.77,90.34,91.96,92.70,92.80,88.40,79.87,92.34,90.30,85.37,92.97,85.79,93.61,93.42,92.28,94.14,94.25,90.48,94.42,84.58,91.65,93.32,94.79,93.40,89.99,95.01,89.69,93.63,94.69,93.43,91.34,90.51,93.52,84.46,84.43,91.85,91.17,88.04,88.44,76.93,93.34,93.50,95.29,93.21,93.66,89.97,93.51,93.88,92.95,92.97,89.10,93.38,88.92,89.60,89.32,91.00,89.67,90.38,86.86,81.80,72.14,78.78,87.16,86.43,78.80,78.20,84.85,86.63,87.10,85.19,88.93,66.25,67.25,73.51,84.41,65.34,80.46,66.45,68.25,85.55,66.31,89.80,62.36,82.69,78.47,64.71,59.05,82.31,61.50,69.74,67.41,55.79,73.74,83.11,60.92,73.01,71.04,55.87
Surah 10,85.85,87.10,95.54,94.11,93.50,92.41,94.78,94.31,94.58,100.00,95.85,92.11,96.37,95.69,89.35,96.19,93.92,94.56,93.56,93.98,95.40,89.32,81.09,94.15,91.94,89.29,95.26,87.73,96.40,94.38,94.73,95.17,96.37,94.20,94.97,88.78,93.41,96.83,95.90,95.09,92.51,95.21,92.63,95.83,94.78,93.74,93.93,88.89,94.33,89.85,86.39,92.87,94.93,92.21,91.81,79.95,93.96,95.66,96.64,93.83,95.21,92.67,95.56,92.63,94.29,95.20,91.43,95.23,92.16,93.52,88.93,95.59,91.14,93.16,87.64,85.53,74.19,80.16,91.12,90.33,80.46,76.92,88.44,88.24,88.84,87.84,90.50,68.43,68.22,75.65,86.54,66.96,80.75,67.33,69.64,86.15,65.58,92.04,63.61,87.13,82.87,63.07,62.56,85.57,64.15,71.84,70.66,54.31,73.65,83.56,65.89,74.63,72.96,61.02
Surah 11,84.08,83.48,95.84,95.69,96.72,91.28,94.28,94.73,93.93,95.85,100.00,91.65,96.40,96.06,88.77,97.36,94.19,93.08,92.65,94.56,95.51,90.92,75.64,95.35,90.36,83.21,93.85,84.02,94.96,94.36,93.16,95.66,97.20,93.51,95.41,85.61,91.10,96.00,96.13,97.03,94.89,97.02,92.64,95.98,95.36,95.17,93.78,88.78,95.85,85.36,84.07,91.23,94.28,91.83,88.47,74.27,94.64,96.01,95.00,94.82,95.54,88.30,94.77,92.08,95.64,94.68,89.15,97.10,93.44,93.39,87.53,94.98,91.16,92.76,85.17,80.93,68.96,75.80,91.08,90.92,76.52,73.94,85.96,85.53,86.28,86.04,90.17,64.66,66.89,72.07,84.70,68.61,76.85,62.59,66.23,82.43,62.63,89.34,57.85,83.95,82.05,57.57,57.82,84.82,57.55,67.18,64.12,53.37,69.30,79.85,62.05,70.52,69.12,54.38
Surah 12,78.64,80.41,89.49,91.61,91.84,85.81,92.55,88.77,89.46,92.11,91.65,100.00,92.35,91.36,91.37,92.74,92.89,87.45,90.00,92.88,92.10,86.28,69.98,90.30,85.36,86.38,92.91,86.37,90.52,90.49,88.04,91.17,93.27,90.04,89.51,85.37,88.29,93.24,89.41,91.86,93.63,90.38,95.34,93.06,91.14,90.86,87.53,83.17,89.45,90.41,83.58,87.69,91.94,91.23,90.69,78.08,89.67,91.81,90.17,89.34,90.86,83.41,90.59,86.65,90.16,91.91,86.12,92.12,92.53,90.38,85.08,93.07,91.08,90.00,82.01,80.02,68.27,81.06,91.13,89.36,75.70,72.64,83.46,81.07,81.68,86.32,84.85,66.23,63.84,74.54,84.43,63.38,73.56,61.66,66.72,79.98,61.36,86.55,57.36,82.07,82.37,59.73,54.84,81.39,57.47,68.59,63.94,52.76,66.20,73.01,62.96,69.62,67.45,53.96
Surah 13,86.91,89.06,97.01,94.79,94.95,93.86,95.15,95.25,95.23,96.37,96.40,92.35,100.00,96.42,89.13,97.20,93.38,91.94,92.71,95.49,95.98,91.67,80.25,95.81,91.25,88.12,95.38,87.84,95.39,95.25,94.15,96.12,96.30,93.32,95.10,88.49,94.58,96.49,95.98,95.64,92.78,96.87,92.74,96.11,96.79,95.32,93.94,89.55,95.71,87.32,88.17,94.51,95.31,92.29,91.49,79.47,95.78,95.71,96.58,94.11,95.56,90.31,94.85,94.65,95.43,94.43,91.78,95.67,92.76,92.73,87.16,94.38,93.30,94.51,88.50,84.85,73.35,80.72,91.75,90.85,81.88,81.04,88.40,88.65,88.43,88.38,91.55,70.28,69.30,75.61,88.17,68.64,80.95,68.54,70.81,84.66,67.88,90.51,63.82,85.57,83.89,64.90,61.85,86.06,63.00,71.41,68.93,58.12,75.06,81.85,64.05,74.19,74.14,57.98
