,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,0.0,17.348184041496655,17.446977603510533,17.35391921343809,17.613812853694405,17.957852867554585,18.240796712607093,17.880801900668622,17.374616033154076,18.17073458677349,18.59642231009708,19.22269125132182,18.795743394923363,18.33185690538342,19.68111891682375,18.023672756529002,18.944359791481563,18.97362529588319,19.034987607753123,19.157211600046523,19.37390739219655,17.873210514609365,19.197007052761816,18.098031087930792,19.30532642005641,18.83405633854941,18.800747619185387,18.63633842985591,18.428453837248515,18.708991292250108,18.533261937858214,19.947829110380724,17.742099197256525,19.050768550864007,18.26180647845767,19.70003921667455,19.393510643994833,19.69328280986879,17.81550909641644,18.27741474783963,18.93545487891012,18.555148082581724,19.53418442986377,20.147335436545177,19.098844845059077,18.909003098252846,18.60246395676205,18.473734440585343,18.34523234342083,20.020259064136837,19.931628440870647,19.70407713472492,20.289649315215144,20.61375457347888,21.678824652475353,19.995012675320005,19.064393620586984,18.04132433935758,18.220455775476914,18.52353059553504,19.190970316716697,19.243656173801877,19.563184825768552,19.576393362875386,18.76668622461396,19.54621891436424,20.176008264289244,20.45151609234197,20.532691245566834,20.079046374551496,20.04593742791299,19.98928881665738,20.332304612934706,19.81540491444167,21.32206682944654,19.998062610020018,21.022816195315087,20.273460800048557,20.859143817241442,21.498340668771327,21.720525404346212,19.67946015893022,20.310623550331385,21.013676946877816,21.193633120786103,21.654498976734786,21.507734429831537,21.310767625689223,20.83635110572013,21.26063061997385,20.70695129556379,22.36714928508166,22.948615499407843,23.39303812321412,20.6733994762524,21.805550273996737,23.454653188680616,19.881807993015286,23.113600329299075,23.003066699158857,22.45382287579447,23.629701500360383,22.069849631337515,21.381146125314565,22.245686282462678,23.718995540585418,20.15615229635877,24.278609358343743,23.689975164128406,20.815916594304067,23.379545320392147,19.899665853931218,23.962144893759856,24.019681302384928
Surah 2,12.354033221569399,0.0,9.12209678479714,10.606672989483176,9.098432098196941,11.204957875037653,11.477093321801302,9.796105868077223,10.905258031284408,10.675523592364112,11.933995891891096,13.794862086860467,11.631376749873635,11.482273635819862,14.419575483320866,10.092187708506351,14.038915472741092,14.917870465855042,14.946124399964905,14.235960867768334,13.682454517233065,10.878247881486482,13.30064753607408,11.28232830670236,13.524902433459225,13.088193804569062,13.194094327185063,12.593671551646715,10.397113417909992,10.75175270299789,11.46220332620329,12.468122257499807,12.794889536251606,11.9912911755459,12.12788892364036,12.531464699611018,15.299076016232725,15.701332358209793,11.499303425801383,11.204149209328284,11.940507043945274,10.393330299070794,12.35499120015762,13.639955141798175,9.960032309091673,12.293112274994769,11.786750321196843,14.157458345843173,11.306810752752913,16.715271494999627,14.063413471682429,15.195687584212193,16.509786720630217,18.451866104008374,23.60624469319189,17.995549495265873,10.487638511512273,9.709703831287795,11.616054099717674,11.736341830924161,10.424727527637943,9.262710980432884,12.298721866984913,10.512620639837582,11.922071584936589,13.219893654725503,14.226576474676973,14.792557316970129,17.144300098240915,17.16510550498139,15.763502586915173,16.76868396895081,14.567651578988478,16.133546087428982,20.76691152570585,17.920875756301804,19.584466616052524,17.54321050026483,17.96872875852825,20.15029614638586,17.922068730664797,16.167196436823158,15.683668709070307,16.05325947634252,13.941560978820839,17.32863128038018,18.63913116780473,19.141809956710787,19.85477481542213,18.9478423590362,18.95996835289315,18.293929295367917,19.438788282634768,17.712668291674127,20.019612574045986,20.510217630153335,13.53249544317153,11.388896693042424,19.917362052066526,22.51807119304464,21.732092801170225,22.314178286395688,14.746248393626542,21.937948703492737,22.39849561538615,23.821293736747144,19.993848799390747,23.715500609690636,12.251332733277717,18.082958736697805,20.606593294751857,15.606803023237223,17.370682647440205,12.567181183065063
Surah 3,16.204778869463464,10.406788676421225,0.0,12.01680367144151,10.034179191955307,11.939445845023702,13.011548565426809,10.161584742306953,11.614200545582085,11.590058926870434,12.946999718118633,14.98710656031174,12.507003897472039,12.687681861766865,15.276841099011678,11.469720111477962,15.524241295168945,15.710873844943682,15.654659510633032,16.065975478658736,14.775681879551776,11.993318557961079,14.291560549383945,12.213397027851617,15.265059569009862,14.053403448284298,14.475267844854438,14.303632481898205,11.939941540175136,12.772724820038038,12.705338769778827,13.438032795225936,14.332706629400764,13.80567125193705,13.281447776242805,14.751790594210558,16.90409727062247,15.36882636877945,12.002426782893288,11.777940849855124,14.002337291862,11.323889617716066,13.465356443214208,14.603611983412312,11.141483285535472,12.436225873110022,12.65059802792635,15.096729695793528,12.276405769746006,17.25969227054906,15.344740040338175,16.152252182468025,16.26255531026111,19.35317221590577,24.18106333083109,19.074228288432963,10.403917766417079,11.4136558182655,11.922462763734243,11.887604428161364,10.186477708895866,9.13338354549837,14.035468546657372,10.938258581355875,15.22645101672024,13.858980665429947,15.46793604572283,15.981948965043093,18.39194518312126,17.69430961112421,17.125940931208383,18.056130663490496,16.871015987172214,17.53637708401635,18.11323840254445,19.747006243169523,19.371244945066103,19.470382051555482,19.572796532932973,20.287093147339185,17.959614349678546,15.546441116357455,16.15092454418536,16.568764776225784,14.583834085630565,20.071630644774082,17.905209203184548,17.766679039467487,19.68135157308903,18.936155166530682,19.457228370667202,17.888124994878414,19.04465866609987,21.532241033144338,18.84051517475501,20.977146836984367,19.885230762188385,12.465640261899106,19.62610173624114,21.263448842737354,22.72772832162092,22.003708877949045,16.475938010801432,24.02909371542785,19.787655924742733,23.247842031417093,21.922202785840874,26.002328797107754,14.724060133225409,19.21021578357079,25.537462608928166,17.202648446254404,18.53843671360272,13.93993745726276
Surah 4,19.57375552008498,11.357338341379737,11.430632487823734,0.0,11.381498125014781,13.044848881962778,14.08493972673518,12.014450949944091,12.211980958609669,13.30769248384767,14.400024589264277,15.87028093047573,13.883369835074252,14.437440931102241,16.11012841278626,12.56865323909248,14.128340456003556,15.479401152305366,16.807294647020726,16.88025095392137,15.898560201075709,13.047258146580937,15.463956008611472,12.37283689533334,14.317696541235524,16.80725639624389,15.855449695304342,15.042502938096934,13.090923055229176,13.793618650205591,14.116893787421306,15.378826307150796,11.76251693137336,14.514380208823816,13.461160722712421,15.915881777507687,17.6876031995688,17.494570734580595,13.58415274237737,13.289867783235751,15.056311263930267,12.523389851200365,15.77030525947771,16.72587400030902,13.897082125980745,14.260042103762157,12.966136707347223,12.257522907847573,12.70205812724942,18.112204419565128,16.076032428910146,16.89047382948443,17.466147106873063,19.311119282593573,23.989305071989232,20.618565162684817,12.835905162095997,11.027284101388457,13.87819802582068,11.558953027471121,13.021686383740093,12.934172842330954,12.556429134119435,12.622137757839184,13.416914264506566,15.56913631180145,17.6985330240109,16.66467735292945,19.22519701397475,17.780405914330885,16.357239217549154,17.80305047349639,15.881593460400321,17.241912643990613,19.38267424405873,18.63856558295791,19.422188764521525,19.60159540860069,20.635223971363597,19.399887899396123,17.954398002922222,15.347874371285297,17.78804232793042,16.28433523928992,15.927714206284046,18.041997820497354,19.260361702273375,19.156695282503556,20.796272314901728,19.012565745867583,20.53770316629788,19.80922700866093,21.66738485904944,20.43473295811471,19.586544323417563,18.724100124215564,19.105963997706883,10.33342164218503,14.699810789548998,23.010083643178213,22.933231906216086,20.182689593983547,12.498782325135275,21.638198979317657,22.00077486475677,26.774447419333615,20.88410845256209,26.013890313063072,16.815226985593924,16.456851614844823,22.270358879869278,15.125514395735888,18.499359043703826,17.1136645814123
Surah 5,18.51235049756514,10.93993744557444,10.687279835763105,12.458331320040383,0.0,12.289163451155378,12.98363788524049,11.507449876872172,11.967029730068344,12.304280378158943,12.813824299677407,14.90285600608146,13.517426036656612,12.97456295742851,15.506896648985922,11.883578957694597,15.742905017746006,15.19297871884146,16.645829716537836,15.982661305382278,15.415200342229166,12.158174960361722,14.523281944791687,12.162041085535705,15.15442260415141,14.204077860087516,14.508475433768446,14.237562955549487,12.449989633210077,13.613512319013328,13.416904144290852,14.497713371486139,14.325070943131745,13.354673093822777,13.91772701748489,14.42697926460546,15.797761822454731,15.965676072126573,13.229988720416648,12.950942486621805,14.22516342041666,11.906089543015922,14.205631523339889,14.66855299222178,12.549440764341869,12.590670166926929,13.477850823583594,14.105044966945297,12.48491118412293,16.744630745233444,14.81863744695994,16.275173270476493,17.48737605642197,18.584556662169113,24.01331064479481,18.862404638579044,11.58025294720212,10.743860779746306,11.90382358709634,11.477880515378097,9.96247076004504,11.235813182688323,12.64992092550051,10.808239301441523,14.595140434388,15.065892089657698,15.32478247239807,16.41158376195765,18.141411746129638,18.019293662015176,16.32069276243864,17.582762933482222,18.053586144451145,16.500810041662795,20.82249906274025,19.214410682323294,20.349316916218243,18.545394690530635,20.211489986570953,19.91069259405115,17.23897018179916,16.773500380601035,17.6162003836053,17.93514042013237,14.229383196784054,18.68387267526928,20.254411333332833,19.72814122388279,19.497932441993118,19.112847255169836,19.375311883793685,20.362864172858593,21.448695981152756,20.299868245956304,19.356682979793185,19.69987821723619,20.896219491703786,11.491148282801145,20.08172374854753,23.47662848412861,23.43411253395884,23.98720914913978,17.995792549450048,21.40999154578884,21.85331056931912,23.029668634375643,20.77102708757033,25.685328662140964,14.341544899632762,17.67274373631566,23.17962020315973,17.170204130270935,18.37301761001433,15.503966777069243
Surah 6,16.910461359686515,11.88573601371051,11.8646007017226,13.16146809009662,12.02596642248825,0.0,11.833042321469618,12.701489934786688,13.432820537250677,10.350970335593969,12.172230523567244,13.681561490086121,12.367570238399797,13.046590273520561,14.252806852948199,10.88136677363613,14.417817122259294,14.460288679098952,15.759932870231708,15.39589200851335,13.13252653133268,12.832714347334042,13.29018784337429,13.464405571750994,14.268102992147634,13.583603544036833,13.206923659534667,12.97451356054428,11.600034908238083,11.73235523198997,13.395427393852271,12.653121031561634,15.938880939994506,12.182197785719435,12.966868430284508,12.994304396937624,15.175899835185804,15.410989202599103,10.964110253576026,11.77430002569687,12.582194501694794,11.859062684426455,12.466795654658231,14.724826594691057,11.072943228491372,11.340678609064783,14.130759259518904,15.698508188315987,13.893829688612282,16.914344224077368,13.979862582887979,14.87990618589603,15.407926049744805,18.61589451982605,23.443955654038923,18.239833739360698,13.439466859527736,12.719923526622388,13.440193344446834,13.828875915092594,13.46948597309428,11.904271416335868,14.008827952741488,13.296796858406125,15.677549913707642,16.452348762615514,15.308301935135908,14.392500147138907,18.60261848306626,17.191815234853316,16.52930573932101,17.115494175096842,17.401970986124127,16.3564854312136,18.636653676893786,18.632805454134875,18.206120829003982,18.05249764773083,19.642478738939552,19.13160983577363,16.755114036720162,17.126128066654935,16.352511620740856,17.79871960496122,15.829815231264673,17.781223015287967,17.784803972455073,18.877292582573226,18.911558690004398,18.895852945832456,18.428811532947446,19.60297769400158,20.701378844280786,22.324559523910136,18.810975965866326,19.100707381781014,19.936189094794223,13.691595483606868,18.758448077466223,21.134779024204036,23.547355952757663,18.82192216789508,20.309035614099038,21.37422226093596,20.555606250178137,24.617459514643024,19.545873945255703,25.88418742862177,13.364191249209686,17.594317674289247,24.253994427090337,17.165742332900038,18.383860871509974,17.288144089630748
Surah 7,16.245643367158713,11.414603261719627,11.95965808066022,13.127313972481065,11.408584084462973,10.771085469738162,0.0,12.571373137090923,13.0012082888592,9.828630907329364,10.63789285010051,13.59868903729218,13.031375345177334,12.3791598282776,12.854644683746512,11.210745660221829,14.485593368615465,14.236676681697986,15.935906810352243,13.821000602993323,12.947904189015237,13.109445278017066,12.691797208477315,13.271575258128824,13.890602831222829,11.208889951505874,12.283023278284993,12.248699980661366,10.854204443130033,11.720210009635977,13.311082854412192,12.221990190674259,14.790329112352138,11.734276349121401,13.304142086898263,12.358211393457822,14.425057044147813,15.251528650851963,11.791149403721837,11.158635435767078,12.653084966363139,11.830714355238314,12.130052984495375,14.27643910127037,11.270957574304628,11.591149006697133,13.894038988708436,15.616144542928701,13.822572121584205,17.14547920528269,13.087479379110171,15.001669464922658,16.219944617073597,16.375605210516703,16.751304900224895,18.879135863737858,12.943115300346733,12.110440004968584,13.463407541897702,13.795746683651226,12.626149216573367,12.697533007733188,12.958921704097568,14.320477790335389,16.337335863923652,15.738030838744644,15.59817302767613,14.951157167077216,17.842293259844645,17.664023301389182,15.576505525806498,16.88047300289102,16.35329829429888,17.61890409040099,19.40912966795731,18.23791897866585,18.12176790224796,18.62101600978524,18.841866854175326,20.497229040950362,16.622256073678667,16.292015918855796,16.4725347062344,16.57230614733679,15.907161899077838,18.753894899443573,18.26926135335594,18.58763668082971,19.62146103996825,17.816454271127327,17.666943685078408,20.04108386186531,21.465021501256718,20.339139484256755,18.124675652502233,20.83947021887319,16.14678211456014,12.81013943398557,19.551117341427634,21.34283456481608,18.8994238189401,21.9149810965531,18.41037796266241,21.513343596644432,19.49923317459886,24.831947379978075,21.8628664362079,25.98023041929411,16.677428789584788,16.44726726437677,22.285369013805656,19.630743729281434,17.17744760929602,13.940533673936471
Surah 8,18.8223578294929,14.037109315005386,13.665197138943885,14.621728057859436,14.108076367045255,15.517844626673481,16.525490130769477,0.0,13.641200113954838,15.52494869518998,15.789179128442935,17.742879583766708,16.772756548563414,16.018021120865132,18.48690920371382,15.17722649069615,18.013143256905302,18.3467809541097,19.00834540498409,19.401737252594796,17.785853473635868,14.122549746216457,17.517362019765827,14.579767696097438,18.450296860061968,17.047023768407133,17.323831150988262,17.68667554358389,15.894847409642136,16.24395769086125,16.08904059475675,17.207945439385224,15.542227841563442,15.992372989808967,16.007510722704694,17.840739529598252,19.127822333084225,18.443295919021587,16.115639687385475,15.284665877934096,16.383773971514014,15.602259723825739,18.061853842947286,17.913112349352268,16.048968329792995,16.391833445614786,14.591200756972068,17.333446894725046,13.041273819171924,19.753716603521063,17.47563776508636,18.071692850955642,18.79123778698097,21.011421568166096,24.209072494634558,20.346507593674737,14.95288690540252,13.453296454442967,15.359425451234818,14.200975248650781,15.981694952728681,14.233217754345205,15.163111205094635,13.960359543589803,17.055003738407393,16.107575108211215,19.301051826833728,18.468597226124785,19.621672036437396,18.128324640771943,19.00035392135098,19.74361215337896,18.842965386551995,19.06948469598914,21.650732036507737,20.95166487082541,19.849015018042476,21.073212301339787,21.372835624395808,21.437212301696732,18.427381036744194,17.186290275228984,17.057289927744723,19.11247083186727,18.08482827218433,19.297966982247296,21.09622019557285,21.524111597426028,21.159550902505718,21.402696683091072,20.58929683865454,21.795112576098422,21.401432500930888,22.69673558892283,20.991725645745277,22.51921394377372,20.134870712891704,18.08925539267052,18.060340780527408,21.918232367201476,22.8192246338156,21.16585033768137,21.419504737260695,24.017565504611433,23.491336569120833,22.388050950110127,22.296254709685183,27.88177506905967,21.030480115749207,18.32171575850031,22.45919834882916,16.43564900528672,19.3833010444894,21.18965755724048
Surah 9,17.512956169039523,12.856263180697537,12.306054903665185,13.318624726167808,12.455587562088306,14.205382647534561,15.251173561748585,12.199616428529534,0.0,14.143825410913802,14.909871096858916,16.74744499651271,14.874976223206605,15.406434642473506,17.447347553207614,13.743604241440265,17.106953777046403,17.03356398184051,18.340837437970563,18.705010600848464,16.68416564456534,14.35505736222223,15.756772107411356,12.912433731202904,16.71399828221334,17.327321212713127,16.712395502650086,16.368488441427672,13.714293245850953,14.142674258366757,14.940007482121587,16.108098654121658,14.206384874933201,15.617596285355281,14.879038632199226,16.830805065965496,17.656203572500136,18.133573084349116,14.390081378926517,14.876536365510969,15.468869841511577,13.64065090167714,16.44787559024664,17.019841852724404,13.998195773819313,15.05603206659811,14.025446702974056,13.322481774388011,13.095805660293475,18.86272963071638,16.435899639341546,17.387363498410693,18.453504107171,20.01662628147191,24.252780132303883,19.31758861214631,12.895648202174499,11.273833438564523,12.717992889119202,13.358547093422885,11.314018254417366,13.352288403785758,11.530510158075147,11.938254981733019,15.770050476961115,15.147526280387115,17.766145332573622,17.811602325163754,19.703523831704267,18.212537059961477,18.671294303296197,18.222813543143666,18.54375261626873,17.062073617835914,22.088027268677198,19.727594620946814,21.273129152750844,20.18206945724664,21.250107114718194,21.44803629543157,17.784377801146103,18.058898391763922,17.56791789596538,18.408710445421672,14.977379893845157,19.47075050052098,19.303430078306917,22.368270932225833,21.33508149496587,18.98494616748434,20.194113740285463,20.62309958448622,21.38951201267497,22.285503742425675,20.802542630015772,21.502942983978254,19.868391641281505,10.54263828410056,21.517638743701244,24.115518714171458,21.049462248522147,22.834679897620546,23.9578007112489,22.085481347218998,22.817434554311305,24.668578458003083,21.684065759815667,25.688878747509417,15.529912183739413,17.67973472128498,24.194295794175158,16.852607545011097,18.40469511254333,14.215413661720017
Surah 10,14.981771511138884,12.880049840480005,12.759985182172699,14.349402223987298,12.987795311140909,11.817797410986154,12.49745882756465,13.812760379391166,14.015508585012945,0.0,12.687266930205768,15.13536430274246,12.997543816277338,13.408973112644484,15.51132532484934,12.387738166848116,15.326177522530626,15.659184237602137,16.420275627022768,15.981623395594516,14.76370197381647,13.76630347128541,13.901629987839732,14.588699982469851,15.189110148894422,13.631411655071433,13.749093321069974,13.730555093619717,12.578977256906782,11.904802066358869,13.344624866758858,13.346712644804327,16.146821313713446,12.545979653996056,13.50107619757477,14.388651324463915,15.927005154986347,16.522555672756937,12.040394112847538,11.891222073669024,13.874048671652771,12.036390981969543,14.158988109473327,14.947457549574406,11.214555261029926,12.106316736497412,14.727682365333742,16.664450317644672,15.327753833712695,17.113820420474255,14.352090352711281,15.240984322815567,16.9087301414285,18.85978025602029,22.929072066573717,18.900801073965788,13.797667539439392,13.961968258082763,14.768380224799884,14.575824806223139,12.67278102309082,12.680808844733374,15.257481405318533,14.942800884935245,17.306046317751157,16.615918227097097,15.635245427365419,15.926860206503095,19.1721013048352,17.555830727241766,16.731784429360857,18.6171551847643,18.118354779712956,17.18879233464719,19.359711111283605,19.086334791180768,21.236406352508865,19.650516376237306,19.446443281080718,20.711914735906237,16.910321306428436,16.05965248443657,16.758275230785713,17.07668763592703,14.844734078863603,18.14806902631469,18.840507472368436,20.762635332722354,20.565148309476378,19.884267100975617,17.971098725774237,19.819724724292733,21.517455591477407,23.000658214586664,17.573373389310596,19.476880329693333,19.500430004725402,14.179187986882134,17.521963482383498,19.11775346586771,23.03623619477972,22.486632038054513,13.986096588820322,22.583214369905043,23.67435931273888,24.247154260202166,21.285545622576542,28.211134728144323,10.97391094444591,17.08203652527724,23.841394176028103,21.12985902001046,18.0503013444273,16.393097024804103
