Surah_A,Name_A,Surah_B,Name_B,Method,Forward_A_to_B,Reverse_B_to_A,Asymmetry,Average
113,Al-Falaq,114,An-Nas,unified_all,43.31,43.33,-0.02,43.32
113,Al-Falaq,114,An-Nas,unified_semantic,76.51,76.51,0.0,76.51
113,Al-Falaq,114,An-Nas,kl_divergence,13.1,13.18,-0.08,13.14
113,Al-Falaq,114,An-Nas,bigram,8.57,8.57,0.0,8.57
113,Al-Falaq,114,An-Nas,trigram,2.63,2.63,0.0,2.63
113,Al-Falaq,114,An-Nas,embeddings,71.31,71.31,0.0,71.31
113,Al-Falaq,114,An-Nas,arabert,88.65,88.65,0.0,88.65
93,Ad-Duha,94,Ash-Sharh,unified_all,45.08,45.56,-0.48,45.32
93,Ad-Duha,94,Ash-Sharh,unified_semantic,83.18,83.18,0.0,83.18
93,Ad-Duha,94,Ash-Sharh,kl_divergence,11.62,13.24,-1.62,12.43
93,Ad-Duha,94,Ash-Sharh,bigram,0.0,0.0,0.0,0.0
93,Ad-Duha,94,Ash-Sharh,trigram,0.0,0.0,0.0,0.0
93,Ad-Duha,94,Ash-Sharh,embeddings,84.86,84.86,0.0,84.86
93,Ad-Duha,94,Ash-Sharh,arabert,79.27,79.27,0.0,79.27
69,Al-Haqqah,101,Al-Qari'ah,unified_all,48.23,47.3,0.93,47.77
69,Al-Haqqah,101,Al-Qari'ah,unified_semantic,85.97,85.97,0.0,85.97
69,Al-Haqqah,101,Al-Qari'ah,kl_divergence,16.32,13.19,3.13,14.75
69,Al-Haqqah,101,Al-Qari'ah,bigram,2.49,2.49,0.0,2.49
69,Al-Haqqah,101,Al-Qari'ah,trigram,1.04,1.04,0.0,1.04
69,Al-Haqqah,101,Al-Qari'ah,embeddings,89.8,89.8,0.0,89.8
69,Al-Haqqah,101,Al-Qari'ah,arabert,77.05,77.05,0.0,77.05
2,Al-Baqarah,3,Āl 'Imrān,unified_all,57.07,55.62,1.45,56.34
2,Al-Baqarah,3,Āl 'Imrān,unified_semantic,87.95,87.95,0.0,87.95
2,Al-Baqarah,3,Āl 'Imrān,kl_divergence,40.16,35.32,4.84,37.74
2,Al-Baqarah,3,Āl 'Imrān,bigram,7.14,7.14,0.0,7.14
2,Al-Baqarah,3,Āl 'Imrān,trigram,3.36,3.36,0.0,3.36
2,Al-Baqarah,3,Āl 'Imrān,embeddings,84.29,84.29,0.0,84.29
2,Al-Baqarah,3,Āl 'Imrān,arabert,96.47,96.47,0.0,96.47
2,Al-Baqarah,65,At-Talaq,unified_all,50.96,47.29,3.67,49.12
2,Al-Baqarah,65,At-Talaq,unified_semantic,83.34,83.34,0.0,83.34
