,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,100.0,17.64322367394656,17.46977815845758,17.633107882876768,17.180738482065845,16.59970458687287,16.136608565797484,16.72810093362553,17.596650697791624,16.250062051312153,15.572833517191167,14.627466973711675,15.265507116438817,15.99033529149143,13.972041460031233,16.49080429897732,15.04031416358751,14.99636227063726,14.904622879694255,14.723561385444262,14.40794004692074,16.740804702198574,14.665084738757617,16.3686362035545,14.507090704222977,15.207132361921252,15.257869825425605,15.510796704237459,15.836617188761293,15.398514700721543,15.671503386637289,13.604318443507182,16.961740794174098,14.881120528459766,16.102741518432982,13.945630931270891,14.379723465131262,13.955056350584167,16.837680744965393,16.07762753008548,15.053713396919518,15.637242013666258,14.17885461277158,13.335593216663543,14.809749316250315,15.093585861039701,15.56342780300903,15.765070137577405,15.968961814769711,13.50613841589352,13.626376212915686,13.940000936534139,13.147153278507503,12.727878290414765,11.44196481469375,13.540279617047526,14.860858704556856,16.461721094958655,16.169465345386154,15.686761285842623,14.673940335998555,14.59683272604522,14.13779493916318,14.119133307612724,15.30992886771749,14.161801355580533,13.297411065617847,12.93605762326983,12.831474031042356,13.426972386629114,13.471501352536187,13.548032100219817,13.091193139449503,13.785670657503276,11.857534674627725,13.536150549883622,12.21773477733272,13.168453804074403,12.419350795729828,11.650348795727544,11.394350308164064,13.97435927566672,13.119607028285095,12.22890597271872,12.010807553337994,11.469832048007786,11.639409875126743,11.870940316890435,12.447690147992002,11.930607107865999,12.609809671832451,10.680880324042715,10.077534465493123,9.639472369466379,12.652188932707533,11.29788069019503,9.580261299378428,13.694432819235248,9.912634474850817,10.022810206564408,10.588705332987923,9.414019703269396,11.003189913051047,11.787687723291377,10.811404592285154,9.33033231318384,13.323840592894461,8.82253505703592,9.357448616038743,12.473152401210264,9.65248749801889,13.669999314574067,9.106201788459574,9.05395841268173
Surah 2,29.071748591586573,100.0,40.163575689309376,34.62246978513188,40.25873408272171,32.611806927215106,31.73629103936701,37.54572784047765,33.60397564910711,34.38491073596407,30.31887927298565,25.170784514682694,31.25041046576811,31.719854901615474,23.646441480027107,36.45036292289441,24.563918502846313,22.49702637584078,22.433553136412694,24.084635334884418,25.455319383610046,33.69486317975113,26.446013599754597,32.36046155809961,25.859549245986603,27.013879933642865,26.729310992844656,28.3833592298112,35.355672428120585,34.123794118307714,31.78358156180049,28.741956673941065,27.817942672112462,30.145663091548148,29.736679791437247,28.560473487472958,21.655567578453145,20.801746513285288,31.665882624764485,32.6144442388471,30.2991446151449,35.369050429533026,29.068963713714098,25.56373311375052,36.93527125526393,29.249397011929783,30.768614289928507,24.27444986740429,32.281332136287425,18.79598036284338,24.50381546816166,21.880622495141402,19.186204668309063,15.799583447249582,9.436127907011995,16.5372470942842,35.03705917306965,37.87153607416229,31.298331080612833,30.92410580471261,35.25817556273826,39.602770896439225,29.232993894780172,34.94963838556251,30.355053998922855,26.660440047325974,24.107247912035017,22.780717496376298,18.006632750559252,17.96920816390626,20.67282275569623,18.695854019518183,23.298873880374106,19.921819278839354,12.534427186242253,16.661199123648235,14.107739173834533,17.3024677521103,16.58166074306716,13.331645518884978,16.659211603862467,19.854894326462663,20.838522458783235,20.08240861053438,24.80422714660625,17.677754795666047,15.506465549997323,14.74625556144745,13.731503306757178,15.03507718453534,15.016856708479152,16.05109796790201,14.314762647451227,17.011734264926574,13.507011602583715,12.860343420125202,25.83992151774811,32.01743239082207,13.645830004488339,10.520892758494067,11.381177631155332,10.737608127579044,22.886457192007406,11.149284390684453,10.647452103758347,9.235371242106844,13.541855629312064,9.333593769744908,29.37185528659661,16.393326189093564,12.736996343275125,20.999316375887293,17.603573500651734,28.458647471205456
Surah 3,19.78041484726744,35.32148144406019,100.0,30.068852004748443,36.66242053371377,30.302360127715822,27.221723957675763,36.19828390458713,31.304132933399785,31.37979747401309,27.398005374036856,22.34180372210833,28.630420209340368,28.117776720169946,21.703772125046537,31.759699502954387,21.173408037228807,20.781908020386393,20.899061108528638,20.056888044511364,22.81919340938394,30.139552032317212,23.951097107394414,29.48349110689245,21.729357558108806,24.528356125358112,23.51511489705473,23.92220094973462,30.300858091644482,27.879668734372014,28.06817322556937,26.085168770264904,23.852750199824733,25.143591697420238,26.49683808599917,22.87377657261723,18.44439368366056,21.505044792261625,30.112112748446002,30.795731755282613,24.653933376909404,32.22624633858368,26.01399185827279,23.215240651999363,32.81946739389835,28.83377948669744,28.22224179471092,22.09822340567224,29.29830337374451,17.80004452916129,21.55690498046672,19.884588167653035,19.666460162330125,14.437846159317319,8.909016492057397,14.846250728037583,35.331623379263604,31.938258083808403,30.353866596794738,30.459859753495312,36.10828769750715,40.118269595300006,24.572386963410917,33.49326345963849,21.813413621592094,25.00990932779914,21.292961698431924,20.226129123273086,15.89454021696335,17.042994250247876,18.03972179346449,16.43736537251247,18.505511141672258,17.314295289201866,16.34376282116126,13.880286022450598,14.41177659549183,14.26960828451245,14.124212633175665,13.150514341148309,16.596780836097878,21.126455586075092,19.887228296954625,19.07338119623842,23.26120095258338,13.436933159387385,16.687321937134257,16.92010029974373,13.971716395514209,15.052659240917027,14.288390421893984,16.71585527207067,14.89021549979718,11.610920558144034,15.197313495476857,12.27365999432281,13.689746333069348,28.74909130031203,14.049123540346887,11.927245270755158,10.302610954351639,11.076207044323521,19.25125753142563,9.04544046240855,13.823977625212184,9.780454768833652,11.166853790760044,7.425628341880275,22.93729463805866,14.6457268105947,7.778969894321952,17.90187294841556,15.663395832996294,24.808254493272013
Surah 4,14.122858204275943,32.11863373328121,31.884083556596554,100.0,32.041129471125565,27.13122552019086,24.451124662141343,30.075927200465486,29.48766646900574,26.42738908249946,23.692717609491073,20.45325611293414,24.9489865586473,23.604233767689806,19.96852621410175,28.454458507178295,24.34523494871724,21.268563080209436,18.623807237699303,18.488429252413287,20.395497503566627,27.1246896773819,21.301438062909327,29.0171343874361,23.888580272073014,18.62387847534499,20.483613324259696,22.21838039805359,27.006508174693412,25.173914536887633,24.373118087726787,21.483550628808715,30.84326749084225,23.423321353934305,26.02490889225111,20.360199866040812,17.054427817087443,17.386831555288342,25.706783635252556,26.474537119833762,22.187721706582536,28.583544950542482,20.658764493511057,18.776062475525315,24.91479922718436,24.026706334243208,27.345623977761015,29.353679221661288,28.077382900449987,16.34545282578906,20.036727071579552,18.469538418830147,17.436321538926734,14.498689379617469,9.081502738815589,12.721756903514864,27.7040793077551,33.19641127154425,24.96189303580664,31.477559125731414,27.19414105239652,27.433171003649854,28.489262804187614,28.302677463855442,26.140315023961353,21.078563049299465,17.03579780987737,18.891317985819718,14.623802136846459,16.896890223529752,19.481129210773585,16.858671249414293,20.430131388174022,17.83172049460396,14.395314354505093,15.507342596993595,14.33854419628837,14.083595003998283,12.700581614734793,14.370556071668727,16.605440550893253,21.550149391794104,16.883991984741577,19.623673363257954,20.336123051730688,16.46061246642252,14.572468302270348,14.724321608373739,12.497679092861851,14.938079313020511,12.825044609293935,13.794189946245114,11.455061675921455,12.957786611341893,14.104808302961128,15.375266910378796,14.799209781717407,35.58157763552053,22.992983565835637,10.015779723664519,10.09304926516104,13.288529594209155,28.65396859533016,11.488543116659283,11.079457294872954,6.8738574733981945,12.388385007938762,7.417048150781545,18.609040060932774,19.288036331388188,10.78476292846172,22.03470579330048,15.724724485179348,18.061881586245864
Surah 5,15.704309046099366,33.487640867471605,34.34451075023392,28.77011152483673,100.0,29.260949364310747,27.297807768980842,31.64009667304865,30.218889620849904,29.216749217687944,27.76531989148083,22.53082981626476,25.878890100210704,27.322591576335974,21.21016443143616,30.472123748333104,20.715447628727983,21.88655046406536,18.926957230281047,20.224688385820468,21.405548235482442,29.646755415207277,23.402479809388563,29.635295823816982,21.971099388212217,24.161546939733807,23.43715638253338,24.08077707395795,28.79412066332155,25.631420292758754,26.140341478537426,23.462393173764408,23.870970366831344,26.303522790112538,24.86341595285139,23.628940651354217,20.60212042483352,20.25906968124652,26.63353973826658,27.387205104061135,24.110654637660407,30.403606361434406,24.157793340572738,23.06496701144872,28.50917911282012,28.391879446438494,25.981509284060024,24.402014473816802,28.693742498318553,18.740877701978047,22.721382495877656,19.64166075032959,17.39934532209864,15.591322660280579,9.059728217247287,15.16408377338696,31.41058353152148,34.15073498409513,30.410496465219623,31.73379287724939,36.926265868527715,32.51133727444914,28.224152794245512,33.93158378919486,23.234915889739177,22.16647421713656,21.59997027967682,19.375547052185592,16.297781779016717,16.498027359448542,19.55245609003413,17.23416744329484,16.441548423597265,19.20343524080898,12.464944689658681,14.639584364918942,13.068940938073093,15.652501069029778,13.250313166109443,13.65493406913971,17.83696818295872,18.6868514947744,17.17663701900188,16.637449426296534,24.10048262692763,15.437242258778058,13.193562914483328,13.906495923543794,14.230349061727438,14.789026609671636,14.405916605946572,13.051248095562379,11.708330393219175,13.133725155849168,14.432778262088094,13.945855456953064,12.3733904681711,31.691717137643412,13.42337796515977,9.55923150738373,9.5999600076201,9.083406351209614,16.536845154458778,11.753734635508724,11.244050328390367,9.996183024215432,12.529269626575768,7.664791571939776,23.831677808166823,17.07978861916143,9.847406939685763,17.960048673227472,15.92465321346619,21.216379648392767
Surah 6,18.432659241594816,30.465551449414534,30.5300094358794,26.816661094382393,30.04131328267978,100.0,30.626509389592115,28.078978281507457,26.098768577137974,35.51919137170837,29.605114501929435,25.45759271424019,29.032420741683275,27.126501322829345,24.04409654926911,33.68435575398721,23.65059974379717,23.550364971679453,20.68020368503771,21.446918709245345,26.894385110130166,27.71292057674482,26.473689788991845,26.016465572130336,24.007346478370287,25.708195486312814,26.695041059143243,27.32272654175862,31.348508655949153,30.936436463142986,26.196542767018755,28.215122211021086,20.313426919090404,29.575621009111263,27.3436231089361,27.26870605384188,21.923962187395,21.414564308994194,33.40678959564308,30.80694598102451,28.415953653793345,30.546921690495832,28.74576984300312,22.93553665018439,33.04518486140258,32.17218711417627,24.339347026844656,20.807622109554483,24.922903927517847,18.425503479307658,24.709404686407996,22.582597045264542,21.421124922129593,15.542539273524522,9.59051530073996,16.13816255285232,26.081428257544108,28.027266315533655,26.07953354993901,25.085314481142763,26.003251520384868,30.409134624762878,24.637936536884688,26.456199068074,20.85127702597318,19.29672340481117,21.635597540938864,23.710551766498288,15.563187308969251,17.921276934304487,19.148791604749206,18.058577298082213,17.548580919865742,19.482597727020284,15.510307738673143,15.516277599190895,16.19266080872257,16.443338178156203,14.02613411696452,14.761304594250094,18.72124138806986,18.03938420948385,19.490341280577486,16.86597409957022,20.536189328269362,16.895509633417262,16.889460506933677,15.141524367718167,15.089729049529687,15.113447212631895,15.836050729906951,14.081648383764009,12.616838385017084,10.72646694551154,15.242271525807624,14.806991202918237,13.620163111199753,25.432061393402844,15.322546609027722,12.081704500259148,9.491860014333808,15.225596155721249,13.12169050363746,11.79585218455968,12.802104365535872,8.528591583149323,14.162289902406055,7.5138759897730045,26.278498599494572,17.214265309925562,8.844278416012724,17.96806387099906,15.907395053991841,17.749472142437757
Surah 7,19.699748108117458,31.935232257794837,30.241174139502476,26.908407620987273,31.9544604264713,34.05788711187617,100.0,28.44672023711722,27.249886531043266,37.423808592198,34.514547470678686,25.669442642988265,27.167805514259864,28.99879284716701,27.652211802146375,32.592937375091296,23.49084684046934,24.0829113848402,20.3194692940998,25.105077730273813,27.39552741625201,26.95653241597456,28.10620766087468,26.52301005443176,24.93094749089017,32.598986236116716,29.278921610125746,29.379589187509612,33.77597468723219,30.97403227896728,26.418430736986583,29.45816634547459,22.785794071930404,30.93049378218308,26.43677352048281,29.059604452507017,23.633483091230037,21.75877927463606,30.755081899307786,32.76322319960474,28.215223969602892,30.633639967511318,29.730245289225603,23.987342031492222,32.3972787008911,31.376377012026087,24.922382296357892,20.97970898271232,25.10113273062609,18.004509700979344,27.01580994294123,22.309291246014627,19.750439105319888,19.44538301832898,18.728373922804316,15.13873361626596,27.40864997120509,29.78861237735923,26.01906222263674,25.16855801364167,28.291326238484952,28.090091126878054,27.36536097361561,23.881937186681714,19.51994180336917,20.725547169860175,21.01744659866016,22.422265692161123,16.792642767834774,17.09468943381753,21.06303552708095,18.488018723304585,19.488808087272172,17.171993587730466,14.357281271414148,16.141252920642945,16.32982835269456,15.534581215671178,15.195259444711281,12.877058044514156,18.97162759477101,19.608606835356426,19.257810435706624,19.066627800007364,20.377961455624394,15.329524825807466,16.09074159952952,15.586521243267526,14.05564482492,16.836089365170167,17.089697857499417,13.478041421698258,11.68923152908376,13.082248534502877,16.325080736717624,12.443808178032068,19.895468147853006,27.77555292420171,14.15486599923341,11.832934813413914,15.10805135586368,11.174921058214258,15.865269147037353,11.632882966664457,14.228498194202674,8.347611482897541,11.233310795661971,7.442055920397178,18.867244193390462,19.306531523196437,10.76858699804009,14.042603460402598,17.947044060142787,24.806775427867166
Surah 8,15.224932849415321,24.568355534675522,25.499286518179414,23.173221821508363,24.394618367989732,21.186956297166557,19.156099428150082,100.0,25.56055069826087,21.171910283275903,20.61981018459743,16.96041717445102,18.68824153435398,20.15330054828767,15.744313707155788,21.921053825794505,16.508177435660066,15.9664890357476,14.944385022223589,14.36789869401401,16.887688049070633,24.359336650294924,17.347249854668963,23.270661786432946,15.802062981862258,18.182649389866842,17.686242383616875,17.056009954673648,20.40307133232342,19.703069127863007,20.010679909665548,17.892392849634465,21.135358617770102,20.20505634125144,20.174493605010866,16.795252094237505,14.76689650123637,15.813129786437793,19.957524043048775,21.686796045749976,19.429505035746367,21.008859161683024,16.427960664828294,16.67413891274716,20.09102811562162,19.413852185018253,23.244071500467587,17.66924392012734,27.140926837711255,13.87097497472494,17.41978117229427,16.4118051301991,15.27238670516974,12.231664365187859,8.884097995435427,13.072612940880656,22.418387562347498,26.045383628658524,21.525271013312388,24.169044491959664,20.22664289838534,24.091242929759932,21.95201786751174,24.75764255943787,18.168145478009958,19.973625438001562,14.513293220950848,15.773171072839585,14.055348258905786,16.31912482062607,14.956332576353109,13.884997915742694,15.193590287946911,14.85329485490611,11.474153479059217,12.304975575368683,13.739414652602417,12.156317042333875,11.797487953934064,11.721783587669469,15.838316232987129,17.931181103207063,18.16399237072044,14.789583313573196,16.390261685057183,14.517771036986051,12.128380067528585,11.620363419111328,12.0518128877585,11.762311951680736,12.759045896540844,11.309679233158766,11.763799016167962,10.334591093087523,12.255779497121875,10.519690551399503,13.352226029100636,16.383007124688312,16.430446505876905,11.1712883795039,10.208775796688167,12.044223317106336,11.742558399625501,9.055874249855878,9.545182043005187,10.65857882081521,10.756871019714579,6.153325571988309,12.208374789778995,16.006559550620832,10.583014932555677,19.328975387139803,14.394412083858882,12.015583475490452
Surah 9,17.354894477935904,27.64773666225705,29.211565091000192,26.398513806817004,28.778006430100493,24.158394577081634,21.759551918896175,29.5241491328124,100.0,24.307565635079442,22.515029777202866,18.735604290143428,22.593732926099204,21.424319922522848,17.469131876498462,25.300135762962185,18.074006629611056,18.207139325635325,15.97598156494511,15.404645594407093,18.85453788509747,23.799497089618363,20.68674124005883,27.492873149020653,18.798373643450805,17.680070852870713,18.801386849829445,19.459226773964204,25.374401767093495,24.310363967751083,22.44727975436131,19.972579754383492,24.155973477913015,20.97666349041844,22.5845562918059,18.580073316933337,17.108062245405623,16.310562067294015,23.71628749303107,22.59020825720045,21.290973463467232,25.561954553638078,19.305357092660337,18.232140546877705,24.664145962534185,22.188341190501117,24.59702536956881,26.38833373612492,26.993325181964394,15.163590960595386,19.32849094326304,17.57423371946954,15.796995682428225,13.511045793762147,8.845352437337379,14.489312733007399,27.53906014386503,32.3879630228932,28.032677887052042,26.293334779980277,32.25807374352919,26.309796112952945,31.56721778307256,30.30596893942133,20.65929084941708,21.986256595545804,16.921003361259512,16.84426012679834,13.940772262335408,16.182274555952212,15.456672013487378,16.16565341052864,15.655071536982948,18.15530535765299,10.983206881186879,13.907256077468814,11.91570491418503,13.289353690299603,11.943168897069727,11.709102800534133,16.890180302620582,16.432816585943552,17.25977062883214,15.867914928608704,22.363545421413782,14.2690825319571,14.509842005261692,10.679682373336604,11.84211252774133,14.97939468766582,13.273357251790122,12.715989629990677,11.777830400355679,10.768441915330849,12.48984511058477,11.644988171643393,13.712818082385091,34.84488510533721,11.62788754524109,8.967602087916125,12.185222671439885,10.193010050708232,9.110158548096704,10.986003475375107,10.210603412293915,8.48510556679772,11.435969529349904,7.66207098844235,21.161404237397452,17.067852337414315,8.897235464960605,18.53960827895379,15.874287704016169,24.134173407387387
Surah 10,22.353726364366437,27.582050085866765,27.915209056455037,23.81295984054182,27.286461266452104,30.673234836211755,28.657761192081722,25.12577340135532,24.621482334327453,100.0,28.118943439674116,22.013012498603043,27.25987400707831,26.16108168956508,21.20077321679426,28.97392736759903,21.596957185712366,20.88960699301183,19.358713404980847,20.22678763496315,22.846546969366017,25.242771534104303,24.90347089685072,23.24988504548915,21.895019067165876,25.585582787495703,25.28625212774522,25.3331718340482,28.425097232449918,30.40752100677778,26.329966450440367,26.324469911648666,19.895390159455275,28.51904816209284,25.921236277312058,23.719679293824864,20.33756503829621,19.161721529946416,29.998001857781297,30.44884244897047,24.972252758456627,30.01001285445199,24.270736734367414,22.43056260749789,32.58052313185077,29.80089755456092,22.928987722116744,18.891746890264386,21.593553101503176,18.06160011377073,23.806559470696204,21.781734545538857,18.435850613457198,15.168063931334405,10.097248685190735,15.105970735178415,25.16372396089842,24.753660081940243,22.835861280994806,23.27983896121612,28.159705796815825,28.137108758714618,21.745830661962597,22.441010200629044,17.717725058162753,18.983655332376024,20.93967413025942,20.337859830353217,14.701654750411278,17.2806454181178,18.76496829590291,15.540580003594911,16.33540287448108,17.92669517637735,14.428408488698926,14.82828798600747,11.95954316321318,14.014864948573443,14.303808891953176,12.603552421031885,18.432917398800786,20.069574013476142,18.715324175674393,18.128792539217358,22.662164643276824,16.28693549978351,15.197325201039694,12.539788295376017,12.78989434799806,13.691065624391197,16.577731409420647,13.779716795982363,11.628100514537612,10.025224475664487,17.25035714044623,14.260338508362738,14.22679538657386,24.221759626933796,17.339269418721095,14.78177258125037,9.989620125980695,10.554021606162088,24.69400562925741,10.45257907083804,9.372072483971728,8.850330119546966,11.900918996477806,5.95396100488146,33.37406467282694,18.119098241600227,9.21682638445106,12.087650166455028,16.446950030574023,19.411399246035106
