,Surah 1,Surah 2,Surah 3,Surah 4,Surah 5,Surah 6,Surah 7,Surah 8,Surah 9,Surah 10,Surah 11,Surah 12,Surah 13,Surah 14,Surah 15,Surah 16,Surah 17,Surah 18,Surah 19,Surah 20,Surah 21,Surah 22,Surah 23,Surah 24,Surah 25,Surah 26,Surah 27,Surah 28,Surah 29,Surah 30,Surah 31,Surah 32,Surah 33,Surah 34,Surah 35,Surah 36,Surah 37,Surah 38,Surah 39,Surah 40,Surah 41,Surah 42,Surah 43,Surah 44,Surah 45,Surah 46,Surah 47,Surah 48,Surah 49,Surah 50,Surah 51,Surah 52,Surah 53,Surah 54,Surah 55,Surah 56,Surah 57,Surah 58,Surah 59,Surah 60,Surah 61,Surah 62,Surah 63,Surah 64,Surah 65,Surah 66,Surah 67,Surah 68,Surah 69,Surah 70,Surah 71,Surah 72,Surah 73,Surah 74,Surah 75,Surah 76,Surah 77,Surah 78,Surah 79,Surah 80,Surah 81,Surah 82,Surah 83,Surah 84,Surah 85,Surah 86,Surah 87,Surah 88,Surah 89,Surah 90,Surah 91,Surah 92,Surah 93,Surah 94,Surah 95,Surah 96,Surah 97,Surah 98,Surah 99,Surah 100,Surah 101,Surah 102,Surah 103,Surah 104,Surah 105,Surah 106,Surah 107,Surah 108,Surah 109,Surah 110,Surah 111,Surah 112,Surah 113,Surah 114
Surah 1,100.0,0.0,0.0,0.0,0.0354735721887194,0.031496062992125984,0.029507229271171435,0.0,0.0,0.10422094841063052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25125628140703515,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11695906432748539,0.0,0.16155088852988692,0.1589825119236884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074688796680498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 2,0.0,100.0,3.361436548779152,1.6443554337514494,2.5808711900035033,1.0950116137595398,1.5635179153094463,1.3284855264997901,1.6260162601626018,1.2325073822056747,0.7246376811594203,0.30856261249678585,0.9666080843585236,1.1194579466784504,0.15071590052750566,1.5239571225623143,0.2639567110993797,0.40864750856841553,0.17266187050359713,0.5597269624573379,0.23653819396131903,1.210518992625574,0.34173430158052115,1.2149661742371947,0.2901494269548818,0.18245614035087718,0.3503363228699552,0.5522629310344828,1.0392609699769053,0.5758157389635317,0.8918960479778564,0.29883611198490095,0.4271149076880683,0.4220023282887078,0.5311301268810859,0.26825633383010433,0.0880540064572938,0.1485222040695084,0.6566997345256392,0.6688963210702341,0.30886895131637004,0.7903981264637002,0.14637002341920377,0.11037527593818984,0.697350069735007,0.30134096730450505,0.430173605776617,0.29003205617462985,0.49035115469788043,0.047066206463759024,0.047221784983472376,0.03169572107765452,0.11025358324145534,0.0,0.015964240102171137,0.031446540880503145,0.8418796877391703,0.699518109746619,0.6871778853662346,0.4108073945331016,0.4364694471387003,0.5210877707213809,0.2594875121634771,0.6120148172008375,0.4629629629629629,0.1923693491503687,0.11065444198545685,0.06357279084551812,0.0,0.03221649484536082,0.08050233456770246,0.0,0.24256144890038808,0.09609224855861628,0.0,0.0320666987333654,0.016241676140977747,0.0,0.016212710765239946,0.0,0.0,0.0,0.016241676140977747,0.032829940906106365,0.1806536377073411,0.0,0.0,0.0,0.0,0.016474464579901153,0.0,0.01650437365901964,0.0,0.0,0.03321707357581797,0.0,0.0,0.2306805074971165,0.0,0.0,0.0,0.0,0.03332777870354941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 3,0.0,3.361436548779152,100.0,1.4428571428571428,2.8505519855000823,0.994948721873565,0.620384047267356,1.950585175552666,1.7765630338230272,1.097445600756859,0.6358705816345614,0.38167938931297707,0.7174265216385096,0.9339248190520664,0.07317073170731707,1.3915364086923372,0.1585100059441252,0.2766251728907331,0.6604418127989069,0.3119151590767312,0.19342359767891684,1.0679196924391285,0.24477080551846908,1.8502764780944279,0.2293052052281587,0.2836569932358717,0.587979094076655,0.5925623212096445,0.9282318315598823,0.7075471698113208,0.8785140562248996,0.23523261892315736,0.6146672318779144,0.39152464302164897,0.8260561718196837,0.19147917663954045,0.23430178069353325,0.28646455001193605,0.8872538411599221,0.7314974182444062,0.2812939521800281,1.140861466821886,0.3266448903406439,0.15785319652722968,0.9441183975503956,0.5866536299193351,0.655076845553036,0.5994005994005994,0.7667900581702803,0.02608242044861763,0.026226068712300026,0.0,0.18387181507748881,0.0,0.053748992206396125,0.05238344683080147,1.5562248995983934,1.1305241521068858,0.9043927648578811,0.5007907221929362,0.8516483516483516,0.9733036707452726,0.33076074972436603,0.7889009793253536,0.3746320578003747,0.3789929615592853,0.10562450488513335,0.053304904051172705,0.0,0.02727024815925825,0.054466230936819175,0.0,0.16433853738701726,0.08097165991902834,0.0,0.05412719891745603,0.0,0.0,0.05517241379310345,0.0,0.0,0.0,0.0,0.11273957158962795,0.2818489289740699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057487783845932734,0.0,0.0,0.36848072562358275,0.0,0.0,0.0,0.0,0.057820179242555655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 4,0.0,1.6443554337514494,1.4428571428571428,100.0,1.7363851617995265,0.6213936972924988,0.4582557639982815,0.7804477305401519,1.0496965720846316,0.6716282446905064,0.2513464991023339,0.23853211009174313,0.35250055078211057,0.6672597864768683,0.06971880083662561,0.7848147472166453,0.4393505253104107,0.3422053231939164,0.34729759062296506,0.35935316430425235,0.18533772652388797,0.7965686274509803,0.1702127659574468,1.0935601458080195,0.39508340649692714,0.12518255789693303,0.14537902388369678,0.3720383786959076,0.4093063334769496,0.44913541432741977,0.6196377502383222,0.07434944237918216,1.5592942141977841,0.2857770938667839,0.5392046731071669,0.06839945280437756,0.06699419383653417,0.1364256480218281,0.4750103263114415,0.4937255708701913,0.24608501118568235,0.6641576267434138,0.02221235006663705,0.07486897928624905,0.3861935795317403,0.16237531895151935,0.671462829736211,0.9062723586930598,0.5511022044088176,0.0,0.0249003984063745,0.07556675062972291,0.2245508982035928,0.0,0.05096839959225281,0.0,0.758833293810766,0.7055961070559611,0.5384238864415075,0.4,0.31071983428275507,0.20909566126502874,0.3918495297805642,0.5402624131721122,0.5339435545385203,0.15364916773367476,0.025043826696719257,0.05056890012642225,0.0,0.025839793281653745,0.07743933918430562,0.10162601626016261,0.23370553103090105,0.051163980557687394,0.0,0.10266940451745381,0.052397170552790154,0.0,0.0,0.0,0.0,0.0,0.026191723415400735,0.05329070077271516,0.21316280309086064,0.0,0.0,0.0,0.0,0.02680246582685607,0.0,0.0,0.0,0.0,0.05431830526887561,0.0,0.0,0.45613093640998126,0.0,0.0,0.0,0.0,0.05461496450027307,0.0,0.0,0.0,0.0,0.0,0.0,0.027255382938130283,0.0,0.0,0.0,0.0
Surah 5,0.0354735721887194,2.5808711900035033,2.8505519855000823,1.7363851617995265,100.0,0.8486082824168364,0.5553740607644561,1.2,1.844026123703419,0.8824795523030563,0.5533092147265376,0.19586507072905332,0.544069640914037,0.9358656757500688,0.05805515239477503,1.3255106475445457,0.022737608003638016,0.13596193065941536,0.26638252530633993,0.33702455464612424,0.2001000500250125,1.141439205955335,0.1300728407908429,1.3487003433055418,0.40540540540540543,0.17798118484617342,0.2783400809716599,0.5419415645617343,0.6885593220338982,0.3888888888888889,0.8698260347930414,0.1575299306868305,0.7635467980295567,0.48846675712347354,0.500277932184547,0.08505812305075135,0.22136137244050913,0.36806342015855037,0.8559919436052367,0.4491017964071856,0.2768549280177187,0.9304871373836892,0.192466318394281,0.09529860228716645,0.45662100456621,0.5815644082582146,0.45126353790613716,0.8373205741626795,1.0246557796990072,0.06295247088448222,0.06337135614702154,0.032123353678124,0.1903553299492386,0.0,0.0,0.0,1.345291479820628,1.5794363580055746,1.4044943820224718,0.9593859929645028,0.9036144578313252,0.676818950930626,0.5052206130010104,1.262039189637994,0.5849853753656159,0.42777229351760443,0.1597444089456869,0.03228931223764934,0.0,0.0664451827242525,0.13271400132714,0.12999675008124797,0.16688918558077437,0.1969796454366382,0.0,0.06581112207963145,0.0676132521974307,0.06745362563237774,0.0,0.0,0.03455425017277125,0.0,0.0676132521974307,0.10369858278603526,0.5544005544005544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07084661707403471,0.0,0.0,0.5576856047403277,0.0,0.0,0.0,0.0,0.07135212272565108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 6,0.031496062992125984,1.0950116137595398,0.994948721873565,0.6213936972924988,0.8486082824168364,100.0,1.973066082054494,0.547945205479452,0.6224435354792816,3.023493360572012,1.5996800639872026,0.8335027444602562,0.8712969878018421,0.575,0.21080368906455862,2.1159715157680568,0.9768528349968146,0.8447729672650475,0.19455252918287938,0.31042128603104213,0.5764353239566521,0.5444646098003629,0.9603841536614646,0.5150022391401702,0.6427688504326329,0.30352556619192156,0.8876430740481197,1.2261878694985766,1.2664393570384802,0.8382016764033529,0.4592112371690978,0.5403868031854381,0.18022077044379364,0.8948545861297539,1.017293997965412,0.8303061754021795,0.25201612903225806,0.2827763496143959,2.3943661971830985,0.9444828380557475,0.45454545454545453,0.8478802992518704,0.5277707966825836,0.2,0.7162534435261708,1.3011152416356877,0.21697857336588014,0.08053691275167785,0.1426126640045636,0.1984126984126984,0.11396011396011395,0.1443001443001443,0.45740423098913663,0.0,0.05846243788365975,0.05685048322910744,0.42895442359249336,0.24813895781637718,0.3339827442248817,0.02847380410022779,0.2676977989292088,0.27092113184828415,0.1799640071985603,0.38325471698113206,0.11604293588627793,0.05871990604815032,0.3449267030755964,0.11594202898550725,0.0,0.029700029700029697,0.05931198102016608,0.02910360884749709,0.08944543828264759,0.14692918013517484,0.0,0.0883912787271656,0.030165912518853696,0.06022282445046673,0.0,0.0,0.12319063751154913,0.0,0.0,0.0,0.030703101013202335,0.0,0.06215040397762585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 7,0.029507229271171435,1.5635179153094463,0.620384047267356,0.4582557639982815,0.5553740607644561,1.973066082054494,100.0,0.19527012367107832,0.5307310392056155,2.316076294277929,1.905311778290993,0.7006617360840794,0.5183788878416589,0.8329366968110423,0.3497376967274544,0.9452160493827161,0.34329563812600966,0.6455517450070608,0.18492834026814609,0.8943781942078365,0.505161432022842,0.34557235421166305,1.0057142857142856,0.23444160272804776,0.5396527451900516,2.0592894319981894,1.3640429338103757,0.6240898689411275,1.4149849222918116,0.6011060351045925,0.306044376434583,0.4017139796464917,0.21500752526338424,0.8020759613116302,0.4559635229181665,0.34263338228095935,0.23912003825920614,0.4393458628264584,0.9485991617030664,0.988793671720501,0.5999520038396928,0.4719207173194903,0.7892848600813203,0.2694691457828079,0.4151530877010898,1.0027575833542242,0.20507562163547807,0.10157440325038089,0.08060182697474476,0.05337603416066186,0.08053691275167785,0.1631321370309951,0.18812147272238647,0.0,0.055020632737276476,0.08040739748056822,0.5076142131979695,0.2343139807341838,0.2888655462184874,0.08055853920515575,0.27972027972027974,0.22618037885213457,0.2256063169768754,0.2770850651149903,0.10925976509150505,0.027616680475006903,0.13513513513513514,0.3282275711159737,0.055263885051119094,0.0,0.11160714285714285,0.054809536859413546,0.05603810591202018,0.08289582757667864,0.0,0.05541701302299806,0.08505812305075135,0.028280542986425343,0.0847936687394008,0.0,0.11557353366079169,0.0,0.0,0.08663008951775916,0.1442169022209403,0.0,0.08743806470416789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02946375957572186,0.0,0.0,0.11590843233845263,0.0,0.0,0.0,0.0,0.02963841138114997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 8,0.0,1.3284855264997901,1.950585175552666,0.7804477305401519,1.2,0.547945205479452,0.19527012367107832,100.0,1.6198704103671708,0.5106926268751995,0.3779527559055118,0.0979431929480901,0.6529850746268656,0.4719207173194903,0.052410901467505246,0.4500160720025715,0.10496850944716585,0.06946856547412296,0.18001800180018002,0.038037276531000384,0.040535062829347386,1.8459069020866776,0.17338534893801474,1.090767432800935,0.09195402298850575,0.16680567139282734,0.33098882912701694,0.33088235294117646,0.5775211017325633,0.24142926122646063,0.8844665561083471,0.2443494196701283,1.1089108910891088,0.4174397031539889,0.7759456838021339,0.1508295625942685,0.0,0.14970059880239522,0.69359445124439,0.5658852061438965,0.3853564547206166,0.6083294337856809,0.047505938242280284,0.4984423676012461,0.22753128555176336,0.5759162303664921,0.783435926133184,0.2185792349726776,1.6341923318667504,0.06097560975609756,0.0,0.12706480304955528,0.0,0.0,0.0,0.0,1.0917030567685588,0.8685581933989578,1.4226437462951986,0.8722741433021807,0.20352781546811397,0.5598320503848845,0.4864489228630994,0.9352037408149633,0.4516129032258065,0.3978779840848806,0.3771213073538655,0.0,0.0,0.0678886625933469,0.0,0.06485084306095978,0.13689253935660506,0.13227513227513227,0.0,0.13324450366422386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204261572373255,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 9,0.0,1.6260162601626018,1.7765630338230272,1.0496965720846316,1.844026123703419,0.6224435354792816,0.5307310392056155,1.6198704103671708,100.0,0.5021684546907099,0.5889014722536806,0.46511627906976744,0.589622641509434,0.6545670931270455,0.031625553447185324,0.8986175115207374,0.07295719844357977,0.1695736434108527,0.028743891922966367,0.284017557449006,0.053763440860215055,0.7974481658692184,0.22490863086870957,1.1563731931668857,0.23371311714869997,0.05473453749315819,0.2179242713157178,0.3527336860670194,1.1210117849956884,0.6346328195829556,0.5551926845199217,0.20768431983385255,0.7142857142857143,0.26392961876832843,0.391684242241639,0.09250693802035154,0.08995502248875561,0.27675276752767525,0.7034632034632035,0.5643644181671593,0.27035145689396217,0.8891523414344991,0.23866348448687352,0.17470300489168414,0.4329004329004329,0.28427037271004424,0.6589785831960462,0.9810333551340745,0.7368421052631579,0.03455425017277125,0.06963788300835655,0.03534817956875221,0.10449320794148381,0.03544842254519674,0.0,0.06949270326615706,1.040988939492518,1.2162162162162162,0.9533537623425264,0.56002800140007,1.4487369985141159,0.6734006734006733,0.8591707134852448,1.0968921389396709,0.5005362888809438,0.727802037845706,0.17568517217146873,0.07112375533428165,0.0,0.0,0.03658982802780827,0.10737294201861132,0.22132054592401326,0.1447178002894356,0.0,0.036284470246734396,0.037383177570093455,0.0,0.0,0.0,0.0,0.0,0.0,0.11498658489842851,0.34495975469528556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411673753382297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surah 10,0.10422094841063052,1.2325073822056747,1.097445600756859,0.6716282446905064,0.8824795523030563,3.023493360572012,2.316076294277929,0.5106926268751995,0.5021684546907099,100.0,1.7282637596383938,0.6519967400162999,1.6351744186046513,1.1695906432748537,0.23603461841070023,1.7572316842389837,0.5747126436781609,0.9463722397476341,0.280014000700035,0.5227552275522755,0.517631834357813,1.0174880763116056,0.6482429205049471,0.6535947712418301,0.6792992491955666,0.9628154050464808,1.9294743845642048,1.23234144875263,1.43256464011181,2.0676691729323307,1.440922190201729,1.4686248331108143,0.3142677561282213,1.88953488372093,1.3049962714392245,0.41984732824427484,0.36859565057132326,0.1514004542013626,2.103187643772593,1.9230769230769231,1.0014836795252227,1.3076643661460225,0.5126327352618089,0.4908522980812137,1.6081252644942872,1.506740681998414,0.3289473684210526,0.16200891049007696,0.44523597506678536,0.08779631255487269,0.08861320336730173,0.18091361374943465,0.7582515611061552,0.04533091568449683,0.13856812933025403,0.17691287041132242,0.8093889113719142,0.7191201353637902,0.5993150684931506,0.3109729009329187,0.4748338081671415,0.48402710551790895,0.1440922190201729,0.46728971962616817,0.18248175182481752,0.0,0.4943820224719101,0.04549590536851684,0.046490004649000466,0.04734848484848485,0.047214353163361665,0.04585052728106373,0.09523809523809523,0.046468401486988845,0.0,0.046707146193367584,0.04854368932038835,0.0,0.0966183574879227,0.0,0.05012531328320802,0.0,0.0,0.10025062656641603,0.2502502502502503,0.0,0.10188487009679062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10395010395010396,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.10504201680672269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
